time,Open,High,Low,Close,Volume
2004-05-31,78.26,78.26,78.26,78.26,2.0
2004-06-30,76.49,77.46,74.655,76.42,52.0
2004-07-31,77.265,79.625,77.255,78.155,52.0
2004-08-31,77.88,79.39,76.865,77.03,54.0
2004-09-30,76.36,80.245,75.51,80.245,52.0
2004-10-31,80.105,80.985,78.79,79.5,48.0
2004-11-30,79.34,81.53,79.34,79.76,52.0
2004-12-31,79.935,80.395,78.86,80.135,52.0
2005-01-31,80.215,80.48,77.01,80.25,654335.0
2005-02-28,80.25,83.585,79.865,82.18,597227.0
2005-03-31,82.17,83.67,81.52,82.935,577630.0
2005-04-30,82.965,83.93,81.785,81.965,549971.0
2005-05-31,81.965,82.47,80.66,81.51,614249.0
2005-06-30,81.51,85.02,81.3,84.055,719161.0
2005-07-31,84.035,85.7,82.68,85.485,672135.0
2005-08-31,85.485,86.375,82.66,83.73,821199.0
2005-09-30,83.72,86.74,83.61,86.475,762699.0
2005-10-31,86.495,87.62,85.59,86.9,686180.0
2005-11-30,86.89,89.63,85.87,89.49,709207.0
2005-12-31,89.49,91.36,84.54,86.305,709451.0
2006-01-31,86.415,89.02,85.55,88.89,499464.0
2006-02-28,88.9,89.43,85.5,86.47,248977.0
2006-03-31,86.46,87.56,82.11,84.385,303328.0
2006-04-30,84.335,87.87,83.82,86.13,280822.0
2006-05-31,86.1,87.81,83.57,84.15,628958.0
2006-06-30,84.15,85.66,83.5,85.015,539664.0
2006-07-31,85.035,88.89,84.825,87.75,545033.0
2006-08-31,87.75,89.865,87.28,89.805,531059.0
2006-09-30,89.775,89.87,87.27,88.075,453032.0
2006-10-31,88.075,90.84,87.55,90.71,404303.0
2006-11-30,90.71,91.85,89.8,91.065,407411.0
2006-12-31,91.055,94.21,90.08,93.965,354614.0
2007-01-31,93.965,96.45,92.01,93.52,444155.0
2007-02-28,93.51,95.94,91.74,92.28,404096.0
2007-03-31,92.26,95.79,88.51,95.2,526683.0
2007-04-30,95.2,100.035,95.02,99.171,521224.0
2007-05-31,99.165,101.704,98.301,101.704,590230.0
2007-06-30,101.573,105.376,101.242,104.53,496906.0
2007-07-31,104.53,107.735,99.456,101.796,646590.0
2007-08-31,101.783,103.64,86.0,94.765,915620.0
2007-09-30,94.6,103.63,92.219,103.504,671780.0
2007-10-31,103.515,107.851,99.354,104.606,910388.0
2007-11-30,104.596,107.187,92.985,98.396,1195673.0
2007-12-31,98.33,100.167,95.266,97.807,805355.0
