time,Open,High,Low,Close,Volume
2004-05-31,1.15345,1.15345,1.12555,1.12555,50.0
2004-06-30,1.11975,1.11975,1.0912,1.1001,52.0
2004-07-31,1.10205,1.1168,1.09765,1.10375,52.0
2004-08-31,1.0991,1.0991,1.0725,1.0725,54.0
2004-09-30,1.0753,1.07635,1.0548,1.07635,52.0
2004-10-31,1.07675,1.09435,1.0591,1.092,50.0
2004-11-30,1.08945,1.1117,1.08,1.0826,52.0
2004-12-31,1.0818,1.09015,1.0597,1.08975,53.0
2005-01-31,1.08785,1.0955,1.0717,1.08715,273250.0
2005-02-28,1.08715,1.10485,1.0786,1.08185,224014.0
2005-03-31,1.08185,1.09065,1.0645,1.08755,277636.0
2005-04-30,1.08745,1.08865,1.0638,1.06855,264285.0
2005-05-31,1.06855,1.07555,1.05605,1.07415,295319.0
2005-06-30,1.07415,1.10345,1.07125,1.09955,307440.0
2005-07-31,1.09965,1.11995,1.09345,1.11375,287381.0
2005-08-31,1.11365,1.1196,1.07755,1.0804,313487.0
2005-09-30,1.0801,1.11185,1.0796,1.10245,288610.0
2005-10-31,1.10225,1.10415,1.06405,1.06695,275273.0
2005-11-30,1.06695,1.08165,1.04685,1.0535,309880.0
2005-12-31,1.0535,1.08965,1.0432,1.07305,267472.0
2006-01-31,1.07285,1.11125,1.07205,1.10105,282335.0
2006-02-28,1.10115,1.12405,1.08365,1.12075,229444.0
2006-03-31,1.12085,1.1736,1.1163,1.16455,299435.0
2006-04-30,1.16255,1.20215,1.1593,1.1933,273978.0
2006-05-31,1.1929,1.2429,1.17845,1.1875,354002.0
2006-06-30,1.1876,1.2291,1.1765,1.21965,304177.0
2006-07-31,1.21945,1.24425,1.191,1.2344,308599.0
2006-08-31,1.2344,1.24525,1.1606,1.17015,326503.0
2006-09-30,1.17005,1.19615,1.12145,1.14185,299114.0
2006-10-31,1.14155,1.16645,1.12095,1.1514,296942.0
2006-11-30,1.1514,1.16505,1.14455,1.14615,295078.0
2006-12-31,1.14745,1.15305,1.1146,1.12035,255221.0
2007-01-31,1.12035,1.13945,1.10575,1.13415,323956.0
2007-02-28,1.13415,1.14625,1.1151,1.13175,266445.0
2007-03-31,1.13175,1.14755,1.12335,1.13165,345640.0
2007-04-30,1.13165,1.13772,1.11194,1.1173,373704.0
2007-05-31,1.11733,1.13835,1.11264,1.11818,418344.0
2007-06-30,1.11808,1.12665,1.09716,1.09926,396609.0
2007-07-31,1.09905,1.12318,1.0912,1.11681,461032.0
2007-08-31,1.11685,1.17684,1.11429,1.16643,587662.0
2007-09-30,1.1655,1.20345,1.15995,1.16651,471786.0
2007-10-31,1.16656,1.21081,1.16085,1.20331,656549.0
2007-11-30,1.20321,1.20927,1.14122,1.15789,690691.0
2007-12-31,1.15829,1.15875,1.11578,1.14193,443835.0
2008-01-31,1.14193,1.16026,1.13315,1.13766,743880.0
2008-02-29,1.13855,1.16921,1.12801,1.16548,629187.0
2008-03-31,1.16609,1.17496,1.13404,1.1528,736215.0
