time,Open,High,Low,Close,Volume
2004-05-31,0.91083,0.91083,0.91083,0.91083,4.0
2004-06-30,0.91823,0.94166,0.91258,0.9373,104.0
2004-07-31,0.93154,0.96651,0.92782,0.96038,104.0
2004-08-31,0.96016,0.97656,0.94344,0.9639,108.0
2004-09-30,0.97068,0.99108,0.96712,0.99059,104.0
2004-10-31,0.99098,1.00452,0.97694,0.98285,104.0
2004-11-30,0.98372,0.98986,0.96094,0.96428,104.0
2004-12-31,0.96409,0.96409,0.92833,0.94994,104.0
2005-01-31,0.95021,0.97862,0.94366,0.96316,1251901.0
2005-02-28,0.96298,0.98058,0.93045,0.93884,1125598.0
2005-03-31,0.93875,0.99438,0.93822,0.99039,1273412.0
2005-04-30,0.98971,0.99324,0.94558,0.95012,1180948.0
2005-05-31,0.95012,1.00837,0.94756,1.00746,1186753.0
2005-06-30,1.00746,1.05108,0.99562,1.04374,1335041.0
2005-07-31,1.04374,1.07377,1.04058,1.05552,1318603.0
2005-08-31,1.05552,1.06724,1.03002,1.04297,1240940.0
2005-09-30,1.04286,1.11607,1.03114,1.11247,1113917.0
2005-10-31,1.11235,1.12057,1.07388,1.09613,1211576.0
2005-11-30,1.09601,1.13353,1.08144,1.12982,1170852.0
2005-12-31,1.12956,1.13778,1.10436,1.13046,993549.0
2006-01-31,1.1302,1.13302,1.08624,1.12956,824245.0
2006-02-28,1.12956,1.16077,1.1217,1.15674,348168.0
2006-03-31,1.15728,1.15794,1.10436,1.11607,473579.0
2006-04-30,1.11607,1.13908,1.1006,1.11439,430109.0
2006-05-31,1.11464,1.12152,1.07279,1.10742,733412.0
2006-06-30,1.10766,1.12536,1.0876,1.09553,636428.0
2006-07-31,1.09637,1.11309,1.08166,1.08436,624652.0
2006-08-31,1.08436,1.12126,1.07933,1.11433,623647.0
2006-09-30,1.11421,1.12638,1.10023,1.11894,552248.0
2006-10-31,1.11894,1.12612,1.09661,1.10035,568013.0
2006-11-30,1.10035,1.11296,1.0401,1.0421,575290.0
2006-12-31,1.04221,1.06224,1.03504,1.04526,606592.0
2007-01-31,1.04526,1.07101,1.0394,1.05541,948677.0
2007-02-28,1.05541,1.07262,1.03434,1.04221,733052.0
2007-03-31,1.04178,1.06214,1.0238,1.0536,724898.0
2007-04-30,1.0536,1.09713,1.04883,1.0933,751948.0
2007-05-31,1.09326,1.16068,1.09052,1.1593,818837.0
2007-06-30,1.15926,1.17402,1.14382,1.14842,723322.0
2007-07-31,1.14842,1.16996,1.12006,1.14034,811027.0
2007-08-31,1.14034,1.15252,1.1175,1.14462,938473.0
2007-09-30,1.14404,1.18043,1.11954,1.17822,847823.0
2007-10-31,1.17819,1.2322,1.17404,1.21816,1085580.0
2007-11-30,1.2182,1.2525,1.09971,1.13263,1317749.0
2007-12-31,1.13253,1.17669,1.09551,1.14164,1069730.0
2008-01-31,1.14179,1.14424,1.05572,1.09475,1529693.0
2008-02-29,1.09409,1.11406,1.05171,1.05378,1273925.0
2008-03-31,1.054,1.05806,0.96104,0.99128,1462670.0
2008-04-30,0.99126,1.0362,0.97058,1.02896,1517452.0
2008-05-31,1.02896,1.06568,1.02556,1.04672,1341482.0
2008-06-30,1.04672,1.04948,0.99231,0.9976,1519258.0
2008-07-31,0.99751,1.03051,0.99575,1.02178,1784647.0
2008-08-31,1.02178,1.05704,1.00556,1.03235,1904312.0
2008-09-30,1.03235,1.07018,1.02058,1.05921,2573110.0
2008-10-31,1.05918,1.06674,0.88982,0.95592,2923569.0
2008-11-30,0.95727,1.01749,0.94234,0.96598,2477941.0
2008-12-31,0.96598,0.97517,0.85004,0.86995,2360188.0
2009-01-31,0.86995,0.95674,0.86723,0.94643,2735531.0
2009-02-28,0.94643,0.96278,0.91459,0.91693,2393582.0
2009-03-31,0.9169,0.94156,0.88792,0.90891,2357761.0
2009-04-30,0.90891,0.9651,0.9078,0.95798,2037897.0
2009-05-31,0.95782,0.98822,0.94036,0.9785,2272165.0
2009-06-30,0.9785,0.98718,0.92433,0.93534,1809153.0
2009-07-31,0.93536,1.00964,0.92634,0.99146,1152800.0
2009-08-31,0.99096,1.00245,0.95723,0.96487,1067015.0
2009-09-30,0.96494,0.98591,0.93741,0.96022,1071274.0
2009-10-31,0.96019,0.99642,0.94444,0.94592,1064522.0
2009-11-30,0.94589,0.9684,0.94084,0.95534,1042445.0
2009-12-31,0.95538,0.99662,0.94488,0.9828,782183.0
2010-01-31,0.98346,1.00554,0.97784,0.996,843177.0
2010-02-28,0.99602,1.03961,0.99132,1.03644,680484.0
2010-03-31,1.03633,1.05362,1.03062,1.04508,624134.0
2010-04-30,1.04504,1.08222,1.04306,1.05887,473990.0
2010-05-31,1.05887,1.11446,1.0366,1.09649,543931.0
2010-06-30,1.09609,1.11554,0.99503,0.99952,381545.0
2010-07-31,0.99932,1.03402,0.99014,1.01142,249907.0
2010-08-31,1.01136,1.0387,0.95043,0.96784,253687.0
2010-09-30,0.96772,0.99638,0.94174,0.95497,235735.0
2010-10-31,0.95491,0.98146,0.93364,0.97701,239996.0
2010-11-30,0.97684,0.99266,0.94887,0.98563,268063.0
2010-12-31,0.98574,0.99308,0.93371,0.9367,205032.0
2011-01-31,0.937,0.98877,0.93459,0.94424,234480.0
2011-02-28,0.9443,0.98976,0.93604,0.95258,169265.0
2011-03-31,0.95251,0.96803,0.90087,0.95936,185263.0
2011-04-30,0.95936,0.96538,0.9073,0.91558,143582.0
2011-05-31,0.91558,0.92632,0.8614,0.86144,243465.0
2011-06-30,0.86152,0.88646,0.84125,0.88304,360164.0
2011-07-31,0.88304,0.88928,0.80657,0.81866,360682.0
2011-08-31,0.8187,0.84422,0.71144,0.81439,710855.0
2011-09-30,0.81444,0.90522,0.7871,0.86463,537585.0
2011-10-31,0.86463,0.89554,0.85888,0.86944,526769.0
2011-11-30,0.86938,0.90389,0.8652,0.90319,446032.0
2011-12-31,0.90311,0.92536,0.89965,0.9194,282733.0
2012-01-31,0.91949,0.9403,0.9098,0.91654,302920.0
2012-02-29,0.91649,0.92844,0.89376,0.91937,245015.0
2012-03-31,0.91944,0.94047,0.90182,0.90489,201946.0
2012-04-30,0.90479,0.92978,0.90338,0.9213,198868.0
2012-05-31,0.92139,0.94338,0.9183,0.92793,266336.0
2012-06-30,0.92793,0.94218,0.92116,0.93238,279751.0
2012-07-31,0.9323,0.97891,0.93206,0.97752,263312.0
2012-08-31,0.97757,0.99023,0.96079,0.9683,207980.0
2012-09-30,0.9683,0.97673,0.94793,0.95512,216136.0
2012-10-31,0.95507,0.9629,0.9275,0.93522,197225.0
2012-11-30,0.93514,0.95432,0.93108,0.93343,168428.0
2012-12-31,0.93343,0.94968,0.91586,0.9194,319242.0
2013-01-31,0.92119,0.95147,0.9025,0.91127,1008251.0
2013-02-28,0.91127,0.92356,0.90296,0.91836,1790593.0
2013-03-31,0.91836,0.93992,0.91364,0.93095,1885449.0
2013-04-30,0.93094,0.93859,0.89859,0.91978,1338045.0
2013-05-31,0.9198,0.95436,0.9191,0.92061,1686680.0
2013-06-30,0.92155,0.92972,0.88472,0.90048,1856410.0
2013-07-31,0.90048,0.92569,0.89717,0.90552,1542596.0
2013-08-31,0.9055,0.90845,0.87232,0.8825,1140661.0
2013-09-30,0.88483,0.90664,0.87358,0.87718,959846.0
2013-10-31,0.87717,0.88672,0.85284,0.87532,905507.0
2013-11-30,0.8754,0.88581,0.85131,0.85367,836475.0
2013-12-31,0.85292,0.85654,0.82504,0.83628,875286.0
2014-01-31,0.83767,0.85386,0.79976,0.81435,1076851.0
2014-02-28,0.81556,0.82212,0.78957,0.79558,777747.0
2014-03-31,0.795,0.80888,0.7807,0.80122,839689.0
2014-04-30,0.80136,0.81595,0.79567,0.80246,732551.0
2014-05-31,0.80245,0.82916,0.79776,0.82505,660694.0
2014-06-30,0.82524,0.83652,0.81504,0.8349,635173.0
2014-07-31,0.83464,0.84286,0.8285,0.82992,647636.0
2014-08-31,0.82937,0.84658,0.82372,0.84596,265360.0
2014-09-30,0.8458,0.861,0.8404,0.85636,347597.0
2014-10-31,0.85598,0.86378,0.83184,0.85455,576555.0
2014-11-30,0.85468,0.86598,0.84009,0.85167,535400.0
2014-12-31,0.85157,0.86244,0.81996,0.85564,497414.0
2015-01-31,0.85567,0.87219,0.6907,0.72351,649674.0
2015-02-28,0.72945,0.76596,0.725,0.7628,604505.0
2015-03-31,0.76268,0.79503,0.75964,0.76608,834106.0
2015-04-30,0.76622,0.79586,0.75904,0.767,835292.0
2015-05-31,0.76882,0.77652,0.74916,0.75546,758578.0
2015-06-30,0.75514,0.76506,0.74286,0.75334,712035.0
2015-07-31,0.75328,0.75427,0.73276,0.73794,657863.0
2015-08-31,0.73869,0.75674,0.69708,0.72314,808213.0
2015-09-30,0.72254,0.74488,0.7212,0.7364,654289.0
2015-10-31,0.73663,0.75652,0.7286,0.75542,582894.0
2015-11-30,0.75377,0.77424,0.75122,0.7679,564564.0
2015-12-31,0.76807,0.77344,0.70725,0.72275,626572.0
2016-01-31,0.72452,0.73339,0.6804,0.73109,1031973.0
2016-02-29,0.73124,0.74624,0.69046,0.74387,1113474.0
2016-03-31,0.74362,0.75957,0.73019,0.73644,907671.0
2016-04-30,0.73488,0.77374,0.7241,0.76414,792358.0
2016-05-31,0.76315,0.76734,0.74208,0.75558,739522.0
2016-06-30,0.75514,0.7598,0.7385,0.75384,986517.0
2016-07-31,0.7539,0.76253,0.73753,0.73796,616807.0
2016-08-31,0.73822,0.75424,0.73482,0.74806,553606.0
2016-09-30,0.74795,0.76026,0.73058,0.73986,611686.0
2016-10-31,0.74072,0.76086,0.72664,0.72846,588390.0
2016-11-30,0.72852,0.76192,0.70614,0.75868,903619.0
2016-12-31,0.75854,0.77662,0.7459,0.758,649086.0
2017-01-31,0.76144,0.77388,0.74993,0.76096,874505.0
2017-02-28,0.76112,0.7724,0.75428,0.75718,574143.0
2017-03-31,0.75719,0.75878,0.73308,0.75326,932625.0
2017-04-30,0.75292,0.76039,0.72495,0.72838,809115.0
2017-05-31,0.72852,0.73938,0.71513,0.71886,953941.0
2017-06-30,0.71862,0.74042,0.7125,0.73961,763725.0
2017-07-31,0.73876,0.78061,0.73822,0.77023,1001837.0
2017-08-31,0.77034,0.77936,0.7532,0.77864,1084515.0
2017-09-30,0.77216,0.79592,0.76925,0.77603,1141238.0
2017-10-31,0.776,0.78808,0.77075,0.77988,1068945.0
2017-11-30,0.77978,0.78747,0.7616,0.76978,1242503.0
2017-12-31,0.77252,0.78354,0.76364,0.77445,922508.0
2018-01-31,0.77754,0.79133,0.75447,0.75538,1530483.0
2018-02-28,0.75532,0.75648,0.73348,0.73348,1414950.0
2018-03-31,0.73388,0.74326,0.72244,0.73953,1143443.0
2018-04-30,0.73884,0.77604,0.73722,0.77544,979038.0
2018-05-31,0.77568,0.78674,0.75658,0.76268,1243585.0
2018-06-30,0.76268,0.76838,0.73954,0.75412,1062971.0
2018-07-31,0.7527,0.76528,0.75196,0.76298,1097781.0
2018-08-31,0.76272,0.76785,0.74054,0.7427,888882.0
2018-09-30,0.74208,0.7698,0.73154,0.76801,769683.0
2018-10-31,0.76822,0.77204,0.75512,0.7657,980232.0
2018-11-30,0.76581,0.76882,0.74714,0.75182,1047664.0
2018-12-31,0.75474,0.7588,0.71769,0.71944,1075246.0
2019-01-31,0.71982,0.76104,0.71959,0.75992,932330.0
2019-02-28,0.75956,0.76439,0.75081,0.75136,230778.0
2019-03-31,0.75178,0.75568,0.73834,0.75065,251851.0
2019-04-30,0.75013,0.76331,0.74622,0.75758,194599.0
2019-05-31,0.75752,0.75927,0.73938,0.74046,228534.0
2019-06-30,0.74077,0.75216,0.73528,0.75203,251701.0
2019-07-31,0.752,0.76115,0.74704,0.74968,235849.0
2019-08-31,0.7496,0.74982,0.72656,0.74364,333362.0
2019-09-30,0.74316,0.75638,0.73786,0.75105,229060.0
2019-10-31,0.75082,0.76375,0.7434,0.75007,215532.0
2019-11-30,0.75068,0.75707,0.74253,0.75312,135985.0
2019-12-31,0.75342,0.75369,0.74072,0.74496,147237.0
2020-01-31,0.74521,0.75046,0.72725,0.72789,175425.0
2020-02-29,0.72788,0.74445,0.71468,0.72064,210802.0
2020-03-31,0.71642,0.72496,0.66054,0.6805,1366796.0
2020-04-30,0.6805,0.70324,0.67926,0.68234,617737.0
2020-05-31,0.68284,0.70918,0.68074,0.70786,391103.0
2020-06-30,0.7077,0.72024,0.69058,0.69608,530242.0
2020-07-31,0.69617,0.7003,0.67466,0.68106,351163.0
2020-08-31,0.68122,0.69701,0.68122,0.69592,390505.0
2020-09-30,0.69582,0.70088,0.68598,0.6912,411964.0
2020-10-31,0.69114,0.69762,0.6818,0.68832,295017.0
2020-11-30,0.68818,0.70508,0.68604,0.69578,418698.0
2020-12-31,0.69558,0.69852,0.68625,0.69488,308133.0
2021-01-31,0.6946,0.70566,0.68865,0.698,437651.0
2021-02-28,0.6981,0.72738,0.69749,0.72348,281652.0
2021-03-31,0.72363,0.7529,0.72184,0.7507,385007.0
2021-04-30,0.75142,0.75186,0.7258,0.74282,259029.0
2021-05-31,0.74224,0.75228,0.7395,0.74339,355995.0
2021-06-30,0.74245,0.74842,0.73622,0.74434,307611.0
2021-07-31,0.74392,0.7483,0.71733,0.72567,364628.0
2021-08-31,0.72588,0.73847,0.70884,0.72556,339710.0
2021-09-30,0.7255,0.73834,0.71824,0.73594,471253.0
2021-10-31,0.73557,0.74953,0.73278,0.73506,355292.0
2021-11-30,0.735,0.74246,0.7166,0.71818,392493.0
2021-12-31,0.71758,0.73319,0.70975,0.72156,336688.0
2022-01-31,0.72114,0.73692,0.71698,0.72619,402172.0
2022-02-28,0.72654,0.73191,0.71706,0.72102,1317854.0
2022-03-31,0.72094,0.75123,0.71866,0.73964,2074968.0
2022-04-30,0.73986,0.76466,0.7359,0.75706,1770217.0
2022-05-31,0.7559,0.78126,0.74576,0.76104,2269467.0
2022-06-30,0.76097,0.77998,0.73576,0.74488,2376101.0
2022-07-31,0.74612,0.75864,0.7391,0.73988,2157159.0
