time,Open,High,Low,Close,Volume
2004-05-31,80.84,80.84,80.84,80.84,2.0
2004-06-30,80.72,82.25,79.66,81.33,52.0
2004-07-31,81.81,84.56,81.81,83.585,52.0
2004-08-31,83.11,84.8,83.11,83.78,54.0
2004-09-30,84.24,87.63,84.24,87.63,52.0
2004-10-31,87.71,88.45,86.11,87.08,52.0
2004-11-30,86.73,89.745,86.37,86.72,52.0
2004-12-31,86.44,86.44,83.95,85.37,52.0
2005-01-31,85.44,85.72,82.72,83.86,1128566.0
2005-02-28,83.86,86.08,82.93,84.12,1044554.0
2005-03-31,84.11,88.98,84.02,88.57,1324893.0
2005-04-30,88.51,89.14,83.12,83.4,1243319.0
2005-05-31,83.42,87.24,83.175,87.12,1275811.0
2005-06-30,87.12,90.64,85.27,89.99,1482561.0
2005-07-31,89.99,93.22,89.43,92.59,1470696.0
2005-08-31,92.59,93.825,90.385,92.79,1624591.0
2005-09-30,92.79,97.915,91.605,97.58,1445944.0
2005-10-31,97.57,99.355,95.705,99.335,1533659.0
2005-11-30,99.325,103.635,98.235,103.445,1474475.0
2005-12-31,103.445,105.065,99.185,101.36,1316958.0
2006-01-31,101.33,103.705,97.135,103.405,943933.0
2006-02-28,103.405,104.12,100.58,102.285,336598.0
2006-03-31,102.275,103.435,99.025,100.78,454767.0
2006-04-30,100.82,103.775,100.025,101.82,408493.0
2006-05-31,101.81,102.93,98.315,102.185,697338.0
2006-06-30,102.195,104.485,101.155,102.51,596235.0
2006-07-31,102.48,104.225,100.635,101.34,596914.0
2006-08-31,101.34,106.405,101.025,106.04,558844.0
2006-09-30,106.05,106.305,103.695,105.71,507068.0
2006-10-31,105.71,106.255,103.06,103.385,510231.0
2006-11-30,103.385,104.865,100.585,100.84,493867.0
2006-12-31,100.79,103.325,100.005,102.08,493580.0
2007-01-31,102.08,103.695,100.225,102.495,644400.0
2007-02-28,102.485,104.805,99.565,100.335,566271.0
2007-03-31,100.295,102.755,97.505,102.025,685487.0
2007-04-30,102.025,108.247,101.711,107.907,464518.0
2007-05-31,107.902,115.228,107.15,115.107,532240.0
2007-06-30,115.087,117.912,113.44,115.813,471253.0
2007-07-31,115.815,118.238,109.954,112.626,587364.0
2007-08-31,112.62,114.342,103.411,109.662,803664.0
2007-09-30,109.7,116.862,106.53,116.709,619178.0
2007-10-31,116.726,122.864,115.666,120.575,755806.0
2007-11-30,120.575,125.582,108.094,111.401,1039077.0
2007-12-31,111.346,116.874,107.872,112.495,764945.0
2008-01-31,112.494,113.28,101.84,106.991,1117954.0
2008-02-29,107.061,109.65,104.73,105.01,840536.0
2008-03-31,105.052,105.728,95.698,99.716,1066869.0
2008-04-30,99.715,104.114,97.926,102.472,967755.0
2008-05-31,102.37,107.112,101.606,105.641,836614.0
2008-06-30,105.641,107.096,102.523,103.826,902955.0
2008-07-31,103.82,107.166,103.606,104.835,1200967.0
2008-08-31,104.835,105.418,100.864,101.372,1199702.0
2008-09-30,101.372,103.455,96.498,99.48,1749886.0
2008-10-31,99.478,99.84,70.98,81.203,2170076.0
2008-11-30,81.387,87.494,72.15,74.65,1914454.0
2008-12-31,74.65,75.63,70.58,74.353,1451233.0
2009-01-31,74.368,80.452,68.384,73.255,1669714.0
2009-02-28,73.247,79.407,71.481,76.526,1302920.0
2009-03-31,76.533,80.672,74.055,78.177,1929582.0
2009-04-30,78.177,84.016,78.008,83.619,1843811.0
2009-05-31,83.607,89.09,80.142,88.312,1563686.0
2009-06-30,88.276,89.419,82.076,84.078,1339765.0
2009-07-31,84.08,88.959,78.556,87.861,1105135.0
