time,Open,High,Low,Close,Volume
2004-05-31,88.75,88.75,88.75,88.75,2.0
2004-06-30,87.91,89.685,85.485,86.785,52.0
2004-07-31,87.835,88.925,86.875,87.095,52.0
2004-08-31,86.555,89.405,85.485,86.915,54.0
2004-09-30,86.79,88.475,86.3,88.475,52.0
2004-10-31,88.495,89.2,87.365,88.59,48.0
2004-11-30,88.155,90.76,88.155,89.94,52.0
2004-12-31,89.65,91.65,89.65,89.885,52.0
2005-01-31,89.925,90.265,86.155,87.065,750038.0
2005-02-28,87.075,90.625,85.545,89.59,623223.0
2005-03-31,89.6,90.83,88.265,89.435,650521.0
2005-04-30,89.435,91.115,87.585,87.825,587006.0
2005-05-31,87.865,88.225,86.405,86.485,615575.0
2005-06-30,86.485,86.765,84.815,86.235,685019.0
2005-07-31,86.225,87.965,85.525,87.735,650002.0
2005-08-31,87.735,89.155,86.015,88.94,710354.0
2005-09-30,88.95,89.405,86.69,87.725,686745.0
2005-10-31,87.755,90.705,87.455,90.635,741178.0
2005-11-30,90.645,91.575,89.205,91.555,729912.0
2005-12-31,91.545,93.155,88.33,89.635,663867.0
2006-01-31,89.745,91.875,88.565,91.545,550427.0
2006-02-28,91.565,92.245,87.69,88.425,285015.0
2006-03-31,88.415,90.825,88.325,90.315,334079.0
2006-04-30,90.285,92.75,89.885,91.4,324517.0
2006-05-31,91.4,92.925,90.385,92.275,818565.0
2006-06-30,92.255,93.735,92.115,93.575,709869.0
2006-07-31,93.495,94.355,92.495,93.455,687881.0
2006-08-31,93.455,95.69,92.895,95.165,680842.0
2006-09-30,95.175,95.235,92.955,94.495,603684.0
2006-10-31,94.485,94.895,93.325,93.975,557202.0
2006-11-30,93.955,97.035,93.645,96.755,553216.0
2006-12-31,96.715,97.725,95.915,97.675,553166.0
2007-01-31,97.675,98.085,95.595,97.155,768400.0
2007-02-28,97.155,98.385,96.065,96.275,581282.0
2007-03-31,96.285,97.475,94.275,96.84,624277.0
2007-04-30,96.84,99.253,96.724,98.717,611677.0
2007-05-31,98.709,99.64,98.073,99.273,666635.0
2007-06-30,99.241,100.914,97.72,100.853,592368.0
