time,Open,High,Low,Close,Volume
2002-12-31,1.4517,1.4517,1.4517,1.4517,2.0
2003-01-31,1.4527,1.4695,1.4527,1.4683,27.0
2003-02-28,1.46835,1.4714,1.4607,1.4607,26.0
2003-03-31,1.46125,1.47815,1.4573,1.47715,29.0
2003-04-30,1.4853,1.5146,1.4831,1.5103,27.0
2003-05-31,1.50915,1.5292,1.5041,1.52885,27.0
2003-06-30,1.52855,1.55475,1.52855,1.55295,26.0
2003-07-31,1.55145,1.5545,1.534,1.5387,27.0
2003-08-31,1.5384,1.54835,1.52985,1.53615,26.0
2003-09-30,1.53355,1.5586,1.53355,1.539,26.0
2003-10-31,1.5404,1.55335,1.5404,1.5529,26.0
2003-11-30,1.5524,1.5731,1.54345,1.5539,26.0
2003-12-31,1.5564,1.56055,1.54715,1.5602,29.0
2004-01-31,1.5594,1.5691,1.5592,1.5677,52.0
2004-02-29,1.5677,1.5786,1.5675,1.5784,50.0
2004-03-31,1.58245,1.58245,1.5483,1.56195,54.0
2004-04-30,1.5658,1.5671,1.54645,1.5518,50.0
2004-05-31,1.5519,1.5534,1.5265,1.5265,54.0
2004-06-30,1.527,1.52975,1.5076,1.51885,52.0
2004-07-31,1.5189,1.54205,1.5175,1.5378,52.0
2004-08-31,1.5385,1.54445,1.5323,1.53605,54.0
2004-09-30,1.53565,1.5529,1.5328,1.5512,52.0
2004-10-31,1.5509,1.5539,1.5284,1.5327,50.0
2004-11-30,1.53285,1.53285,1.50985,1.5208,52.0
2004-12-31,1.5277,1.5466,1.5217,1.5461,52.0
2005-01-31,1.547,1.5547,1.5402,1.55365,727915.0
2005-02-28,1.55365,1.56335,1.5344,1.53655,638042.0
2005-03-31,1.53655,1.55775,1.53605,1.5529,556121.0
2005-04-30,1.5529,1.5573,1.5355,1.5388,569214.0
2005-05-31,1.5388,1.5502,1.5301,1.5318,599029.0
2005-06-30,1.5318,1.5549,1.5295,1.5504,678978.0
2005-07-31,1.5503,1.56595,1.5445,1.5582,662913.0
2005-08-31,1.5582,1.56255,1.5417,1.5433,846956.0
2005-09-30,1.5433,1.559,1.5401,1.5562,787680.0
2005-10-31,1.5561,1.5568,1.5401,1.5483,812343.0
2005-11-30,1.5483,1.5518,1.536,1.5466,810796.0
2005-12-31,1.5466,1.55985,1.5359,1.5567,691235.0
2006-01-31,1.5567,1.5567,1.5412,1.5557,464370.0
2006-02-28,1.5557,1.5678,1.5522,1.56525,141359.0
2006-03-31,1.56525,1.5818,1.5585,1.5803,175580.0
2006-04-30,1.5803,1.58575,1.55925,1.56205,167514.0
2006-05-31,1.56205,1.56485,1.5453,1.5641,367006.0
2006-06-30,1.5641,1.5686,1.5497,1.5644,316353.0
2006-07-31,1.5644,1.57875,1.5591,1.57245,312968.0
2006-08-31,1.57255,1.5829,1.5713,1.5792,316642.0
2006-09-30,1.579,1.5967,1.57555,1.5863,283941.0
2006-10-31,1.5863,1.5968,1.5826,1.58915,283626.0
2006-11-30,1.58915,1.6013,1.5811,1.5915,312365.0
2006-12-31,1.5914,1.61035,1.58645,1.6089,346595.0
2007-01-31,1.6089,1.62615,1.6062,1.61935,399405.0
2007-02-28,1.61925,1.6291,1.6062,1.61095,290397.0
2007-03-31,1.61095,1.6268,1.59325,1.6229,324865.0
2007-04-30,1.6229,1.65352,1.6209,1.65237,355129.0
2007-05-31,1.65232,1.66131,1.64151,1.65381,427646.0
2007-06-30,1.65383,1.66727,1.64201,1.6535,356772.0
2007-07-31,1.6535,1.66877,1.6349,1.6462,380478.0
2007-08-31,1.6462,1.65345,1.61781,1.64705,493744.0
2007-09-30,1.64645,1.66652,1.6333,1.66285,423140.0
2007-10-31,1.66284,1.6828,1.6593,1.67087,545518.0
2007-11-30,1.6709,1.67572,1.62999,1.65655,720423.0
2007-12-31,1.6561,1.67295,1.64532,1.65371,598371.0
2008-01-31,1.65365,1.65573,1.58262,1.61277,890320.0
2008-02-29,1.61254,1.62309,1.5802,1.58035,728440.0
2008-03-31,1.58088,1.58792,1.53324,1.58076,920565.0
2008-04-30,1.58077,1.6248,1.57208,1.62232,902437.0
2008-05-31,1.62233,1.63771,1.60663,1.62127,797281.0
2008-06-30,1.62127,1.6251,1.60153,1.61031,937583.0
2008-07-31,1.61044,1.63692,1.59918,1.63365,990075.0
2008-08-31,1.63371,1.63497,1.60572,1.60968,931593.0
2008-09-30,1.60968,1.61246,1.56689,1.57677,1448359.0
2008-10-31,1.57684,1.57921,1.42994,1.47398,1973964.0
2008-11-30,1.47516,1.55294,1.4714,1.52072,1628980.0
2008-12-31,1.52072,1.58856,1.47575,1.49096,2956628.0
2009-01-31,1.49096,1.51998,1.46553,1.48486,3613225.0
2009-02-28,1.48486,1.5157,1.46979,1.4792,3268470.0
2009-03-31,1.4793,1.54498,1.4578,1.51737,3688275.0
2009-04-30,1.51737,1.53004,1.50122,1.50746,2964921.0
2009-05-31,1.507,1.52346,1.5006,1.51541,3292669.0
2009-06-30,1.51541,1.53838,1.5008,1.52054,2317294.0
2009-07-31,1.52038,1.53464,1.51102,1.52318,715615.0
2009-08-31,1.52338,1.53642,1.51348,1.5154,712136.0
2009-09-30,1.51536,1.52392,1.50727,1.51382,687092.0
2009-10-31,1.51378,1.52036,1.5084,1.50981,647702.0
2009-11-30,1.50983,1.51456,1.50116,1.50744,614762.0
2009-12-31,1.50736,1.514,1.48196,1.48359,488855.0
2010-01-31,1.48322,1.48902,1.46358,1.47158,636297.0
2010-02-28,1.47165,1.48551,1.45594,1.46361,552724.0
2010-03-31,1.46356,1.46558,1.41446,1.43233,458013.0
2010-04-30,1.4323,1.44662,1.42925,1.43262,409522.0
2010-05-31,1.43262,1.45888,1.39993,1.4148,1142427.0
2010-06-30,1.41471,1.41786,1.30738,1.32681,1124627.0
2010-07-31,1.32686,1.38179,1.32177,1.35932,1024188.0
2010-08-31,1.3591,1.3925,1.28522,1.30116,1091401.0
2010-09-30,1.30119,1.34636,1.27661,1.34287,1041535.0
2010-10-31,1.3429,1.38344,1.32643,1.3779,1098795.0
2010-11-30,1.37781,1.38222,1.29322,1.31682,1387240.0
2010-12-31,1.31676,1.3206,1.24014,1.25214,1127585.0
2011-01-31,1.24964,1.30692,1.24149,1.29334,1354390.0
2011-02-28,1.29337,1.3205,1.27063,1.2792,908250.0
2011-03-31,1.27926,1.31699,1.24282,1.31534,933459.0
2011-04-30,1.31534,1.32434,1.27299,1.28126,722540.0
2011-05-31,1.2819,1.288,1.20578,1.20639,1138945.0
2011-06-30,1.20634,1.23339,1.1806,1.23178,972269.0
2011-07-31,1.23178,1.23452,1.10264,1.11654,1046643.0
2011-08-31,1.11651,1.19733,1.00708,1.13435,1947791.0
2011-09-30,1.1344,1.23442,1.10024,1.2158,1066586.0
2011-10-31,1.2158,1.24736,1.21224,1.21561,1049170.0
2011-11-30,1.21553,1.24568,1.21304,1.23272,798389.0
2011-12-31,1.23278,1.24438,1.21356,1.21484,502965.0
2012-01-31,1.21488,1.2199,1.20319,1.20457,370363.0
2012-02-29,1.20459,1.2128,1.20406,1.20601,222692.0
2012-03-31,1.20599,1.2147,1.20358,1.20412,115891.0
2012-04-30,1.20416,1.20496,1.19972,1.20164,95853.0
2012-05-31,1.20161,1.20754,1.2006,1.20126,61120.0
2012-06-30,1.2013,1.20385,1.20066,1.20136,47742.0
2012-07-31,1.20132,1.20205,1.2003,1.20162,75726.0
2012-08-31,1.20161,1.20801,1.20075,1.20087,36982.0
2012-09-30,1.20087,1.21846,1.20078,1.20926,241113.0
2012-10-31,1.20928,1.21436,1.20544,1.2061,182879.0
2012-11-30,1.20613,1.20908,1.20305,1.20534,102723.0
2012-12-31,1.20534,1.21684,1.20507,1.20722,307751.0
2013-01-31,1.20786,1.25696,1.20707,1.23882,1076883.0
2013-02-28,1.23882,1.24072,1.21196,1.22754,2207618.0
2013-03-31,1.22754,1.23906,1.21566,1.21628,2149379.0
2013-04-30,1.21628,1.23488,1.21304,1.22231,1630168.0
2013-05-31,1.22232,1.26494,1.21966,1.24149,2179455.0
2013-06-30,1.2422,1.24869,1.22188,1.23512,2222405.0
2013-07-31,1.23502,1.24656,1.22794,1.23735,1691124.0
2013-08-31,1.23734,1.24349,1.22676,1.22948,1132009.0
2013-09-30,1.23133,1.2415,1.22155,1.22481,1001063.0
2013-10-31,1.22478,1.23756,1.22232,1.23051,1018796.0
2013-11-30,1.2304,1.23512,1.22834,1.23156,878735.0
2013-12-31,1.23128,1.23241,1.21667,1.22545,903230.0
2014-01-31,1.22701,1.23942,1.22111,1.22234,1062859.0
2014-02-28,1.22242,1.22606,1.2133,1.21442,719443.0
2014-03-31,1.21187,1.22346,1.21042,1.21855,784881.0
2014-04-30,1.2185,1.22496,1.21412,1.21939,549756.0
2014-05-31,1.21936,1.22374,1.21634,1.22039,577776.0
2014-06-30,1.22047,1.22254,1.2133,1.21408,553665.0
2014-07-31,1.21393,1.21778,1.21352,1.21638,470394.0
2014-08-31,1.21624,1.21774,1.20494,1.2073,196802.0
2014-09-30,1.2073,1.21187,1.20449,1.20682,181748.0
2014-10-31,1.20683,1.21396,1.20528,1.20577,399896.0
2014-11-30,1.20642,1.20661,1.2009,1.20292,342308.0
2014-12-31,1.20296,1.20961,1.2006,1.20254,131425.0
2015-01-31,1.20304,1.20331,0.9714,1.03936,372967.0
2015-02-28,1.0486,1.08106,1.04056,1.06792,387623.0
2015-03-31,1.06661,1.07612,1.0395,1.04076,638552.0
2015-04-30,1.0408,1.0524,1.02344,1.0446,491342.0
2015-05-31,1.04577,1.05064,1.02804,1.03373,470310.0
2015-06-30,1.0336,1.05742,1.03121,1.04835,500712.0
2015-07-31,1.04842,1.06897,1.03582,1.06128,435385.0
2015-08-31,1.06176,1.09616,1.05908,1.08494,516750.0
2015-09-30,1.08477,1.10496,1.08006,1.09398,427130.0
2015-10-31,1.09361,1.09497,1.07588,1.08719,333406.0
2015-11-30,1.08778,1.09349,1.07353,1.09084,310653.0
2015-12-31,1.09157,1.09396,1.07562,1.08662,302399.0
2016-01-31,1.08836,1.11655,1.08274,1.11038,326204.0
2016-02-29,1.11031,1.11996,1.08102,1.08392,360403.0
2016-03-31,1.08397,1.10226,1.08209,1.09158,330886.0
2016-04-30,1.09162,1.10163,1.08434,1.09828,221444.0
2016-05-31,1.09834,1.11288,1.09601,1.10552,229355.0
2016-06-30,1.10547,1.11062,1.06234,1.08426,446162.0
2016-07-31,1.08462,1.09449,1.07897,1.08096,316567.0
2016-08-31,1.08102,1.10012,1.08019,1.09742,236192.0
2016-09-30,1.09749,1.09848,1.08111,1.09184,230316.0
2016-10-31,1.09083,1.09757,1.07618,1.07834,236251.0
2016-11-30,1.0783,1.08316,1.06865,1.07747,431308.0
2016-12-31,1.07717,1.0899,1.06792,1.07198,366344.0
2017-01-31,1.0715,1.07511,1.06374,1.06932,374340.0
2017-02-28,1.06898,1.07096,1.0632,1.06406,233913.0
2017-03-31,1.06468,1.08248,1.06388,1.06867,230457.0
2017-04-30,1.06909,1.08699,1.066,1.08592,191053.0
2017-05-31,1.08586,1.09874,1.07924,1.08942,296800.0
2017-06-30,1.08915,1.0954,1.08333,1.09495,231255.0
2017-07-31,1.09431,1.14552,1.0924,1.13964,318089.0
2017-08-31,1.13943,1.1538,1.12592,1.14419,487468.0
2017-09-30,1.14024,1.16236,1.13605,1.14394,496868.0
2017-10-31,1.14282,1.17128,1.13886,1.16569,413728.0
2017-11-30,1.16574,1.1737,1.15428,1.16121,411331.0
2017-12-31,1.16442,1.17772,1.16112,1.16926,293916.0
2018-01-31,1.17042,1.18332,1.1541,1.15877,514894.0
2018-02-28,1.15947,1.16398,1.14466,1.15536,497979.0
2018-03-31,1.15532,1.18036,1.14963,1.17522,442751.0
2018-04-30,1.17468,1.20056,1.17373,1.19516,352515.0
2018-05-31,1.19462,1.19802,1.13684,1.1518,492649.0
2018-06-30,1.1518,1.16571,1.14794,1.15744,474086.0
2018-07-31,1.15556,1.17144,1.15352,1.15674,434868.0
2018-08-31,1.15679,1.15716,1.12396,1.12422,433192.0
2018-09-30,1.12502,1.14288,1.11837,1.13906,378635.0
2018-10-31,1.13906,1.15014,1.13126,1.1433,485098.0
