time,Open,High,Low,Close,Volume
2002-12-31,124.53,124.53,124.53,124.53,2.0
2003-01-31,124.35,129.04,124.35,129.04,28.0
2003-02-28,129.1,130.71,126.22,127.55,25.0
2003-03-31,127.44,129.38,126.01,128.78,27.0
2003-04-30,128.03,133.19,128.03,133.19,26.0
2003-05-31,133.69,140.59,132.26,140.14,26.0
2003-06-30,139.41,139.83,135.71,138.06,26.0
2003-07-31,136.34,137.27,131.89,135.46,27.0
2003-08-31,135.59,136.69,127.42,127.85,26.0
2003-09-30,126.03,132.56,125.71,129.665,26.0
2003-10-31,129.445,129.95,126.315,127.33,26.0
2003-11-30,127.35,131.43,124.715,130.945,26.0
2003-12-31,131.18,134.7,130.745,134.7,29.0
2004-01-31,134.66,136.94,131.505,131.88,52.0
2004-02-29,131.255,137.215,131.255,135.575,52.0
2004-03-31,134.515,138.73,128.195,128.195,54.0
2004-04-30,126.88,132.37,126.085,132.37,50.0
2004-05-31,132.3,137.495,131.795,135.475,54.0
2004-06-30,134.235,136.53,130.375,131.815,52.0
2004-07-31,133.4,135.645,133.22,133.95,52.0
2004-08-31,133.155,136.99,131.73,133.495,54.0
2004-09-30,133.27,137.275,132.395,137.24,52.0
2004-10-31,137.26,137.26,135.215,135.785,50.0
2004-11-30,135.115,138.175,134.29,136.775,52.0
2004-12-31,136.955,141.305,136.955,138.96,52.0
2005-01-31,139.1,139.35,132.996,135.266,750224.0
2005-02-28,135.266,139.444,133.005,137.658,556627.0
2005-03-31,137.668,140.712,137.316,138.88,551562.0
2005-04-30,138.9,140.518,134.8,135.09,524266.0
2005-05-31,135.12,136.246,132.34,132.46,551079.0
2005-06-30,132.46,134.416,130.618,133.67,642816.0
2005-07-31,133.65,137.224,132.526,136.698,616299.0
2005-08-31,136.698,138.855,133.532,137.266,672225.0
2005-09-30,137.286,137.846,134.543,136.49,620381.0
2005-10-31,136.51,140.377,135.848,140.317,774694.0
2005-11-30,140.327,141.612,137.51,141.602,937458.0
2005-12-31,141.602,143.618,137.595,139.69,879608.0
