time,Open,High,Low,Close,Volume
2004-05-31,1.9483,1.9483,1.9483,1.9483,2.0
2004-06-30,1.96555,1.98005,1.8974,1.8974,52.0
2004-07-31,1.90265,1.9217,1.8767,1.8895,52.0
2004-08-31,1.8792,1.88315,1.83175,1.8594,54.0
2004-09-30,1.8768,1.8768,1.83475,1.83995,52.0
2004-10-31,1.84515,1.86565,1.81075,1.86565,50.0
2004-11-30,1.85535,1.88615,1.8353,1.8567,52.0
2004-12-31,1.8537,1.905,1.8537,1.8894,52.0
2005-01-31,1.8883,1.9033,1.8147,1.8324,1009497.0
2005-02-28,1.8325,1.838,1.7946,1.8133,877373.0
2005-03-31,1.8133,1.83385,1.7803,1.8223,1015870.0
2005-04-30,1.8217,1.8273,1.75615,1.7612,958469.0
2005-05-31,1.7612,1.7919,1.7418,1.7465,1024930.0
2005-06-30,1.7465,1.7573,1.6878,1.74855,1226959.0
2005-07-31,1.74835,1.805,1.74535,1.78105,1255104.0
2005-08-31,1.78085,1.79605,1.7435,1.7716,1342534.0
2005-09-30,1.7719,1.78345,1.72305,1.73955,1282216.0
2005-10-31,1.73985,1.7518,1.6991,1.7232,1214342.0
2005-11-30,1.7232,1.7868,1.6594,1.6658,1059585.0
2005-12-31,1.6657,1.7685,1.6341,1.73385,960811.0
2006-01-31,1.73405,1.8163,1.72755,1.76355,704600.0
2006-02-28,1.76355,1.8135,1.74425,1.7941,309905.0
2006-03-31,1.7938,2.00375,1.788,1.9698,374406.0
2006-04-30,1.9696,2.02255,1.9333,1.9772,348271.0
2006-05-31,1.9771,2.08365,1.9591,2.0373,563330.0
2006-06-30,2.0374,2.11795,1.9899,2.1,486370.0
2006-07-31,2.0997,2.11845,1.9924,2.06685,456620.0
2006-08-31,2.06725,2.08015,1.9491,1.95785,455621.0
2006-09-30,1.95825,1.9991,1.8918,1.94285,433258.0
2006-10-31,1.94255,1.9527,1.8815,1.8963,490938.0
2006-11-30,1.8963,1.9644,1.89085,1.93785,506743.0
2006-12-31,1.93715,1.94935,1.8607,1.8732,594582.0
2007-01-31,1.8732,1.91535,1.8453,1.90845,868919.0
2007-02-28,1.90855,1.9226,1.8504,1.9025,602411.0
2007-03-31,1.9025,1.9495,1.8507,1.86839,586395.0
2007-04-30,1.86846,1.8752,1.81351,1.83661,620620.0
2007-05-31,1.83663,1.85782,1.80216,1.80513,751844.0
2007-06-30,1.80513,1.8111,1.7401,1.75388,537233.0
2007-07-31,1.75388,1.81175,1.7035,1.78337,616485.0
2007-08-31,1.78337,2.01602,1.77586,1.94241,809064.0
2007-09-30,1.94298,2.01856,1.85559,1.85623,626121.0
2007-10-31,1.85623,1.94218,1.82124,1.90243,827840.0
2007-11-30,1.90243,1.98748,1.84926,1.9145,1001865.0
2007-12-31,1.91503,1.94693,1.85126,1.90025,766730.0
2008-01-31,1.90005,1.94876,1.86157,1.86219,1187599.0
2008-02-29,1.86294,1.90378,1.81972,1.90053,1002200.0
2008-03-31,1.90593,2.01825,1.8798,1.98437,1175035.0
2008-04-30,1.98437,2.02804,1.96126,1.98968,1184450.0
2008-05-31,1.9898,2.05685,1.95879,1.98803,1105296.0
2008-06-30,1.98797,2.0908,1.97109,2.08428,1244484.0
2008-07-31,2.08422,2.14584,2.04856,2.13992,1329556.0
2008-08-31,2.13999,2.18555,2.0555,2.10002,1410368.0
2008-09-30,2.10002,2.19531,2.07039,2.08911,2060868.0
2008-10-31,2.08911,2.3539,2.06673,2.18391,2054650.0
2008-11-30,2.19501,2.40878,2.10569,2.37883,1811272.0
2008-12-31,2.3788,2.48179,2.34976,2.41097,1620203.0
2009-01-31,2.41133,2.54928,2.2494,2.5113,1982173.0
2009-02-28,2.5113,2.58065,2.39783,2.52979,1747404.0
2009-03-31,2.53009,2.5671,2.3207,2.33352,2146747.0
2009-04-30,2.3336,2.3594,2.23765,2.33055,1893643.0
2009-05-31,2.3309,2.33678,2.16375,2.17854,1800021.0
2009-06-30,2.17871,2.26303,2.15608,2.21211,1472763.0
2009-07-31,2.21219,2.25115,2.13478,2.15442,1265301.0
2009-08-31,2.15592,2.16476,2.07555,2.10669,1130153.0
2009-09-30,2.10661,2.1239,2.01074,2.03473,1012325.0
2009-10-31,2.03467,2.06249,1.96995,2.05722,862951.0
2009-11-30,2.0579,2.12359,1.99309,2.07787,883353.0
2009-12-31,2.07802,2.09193,1.97028,1.97867,709215.0
