time,Open,High,Low,Close,Volume
2004-05-31,2.5995,2.5995,2.5995,2.5995,2.0
2004-06-30,2.63585,2.6897,2.5811,2.5811,52.0
2004-07-31,2.5662,2.60755,2.5466,2.5894,52.0
2004-08-31,2.5976,2.5976,2.5142,2.5488,54.0
2004-09-30,2.5672,2.59445,2.4773,2.4773,52.0
2004-10-31,2.4845,2.4845,2.4372,2.45505,52.0
2004-11-30,2.46165,2.48675,2.3702,2.48675,54.0
2004-12-31,2.48305,2.55445,2.452,2.452,52.0
2005-01-31,2.4533,2.48305,2.42155,2.43415,1138436.0
2005-02-28,2.43415,2.45075,2.372,2.4403,1040674.0
2005-03-31,2.4403,2.45865,2.39685,2.4406,1159833.0
2005-04-30,2.4396,2.49845,2.42645,2.4441,1077950.0
2005-05-31,2.4441,2.45075,2.38795,2.41385,1163750.0
2005-06-30,2.41345,2.42105,2.33605,2.3508,1317144.0
2005-07-31,2.3508,2.37985,2.26655,2.32085,1294290.0
2005-08-31,2.32085,2.40795,2.29835,2.40515,1342831.0
2005-09-30,2.40545,2.41175,2.30995,2.3154,1280666.0
2005-10-31,2.3156,2.37795,2.29585,2.37165,1261960.0
2005-11-30,2.37165,2.39945,2.32305,2.33325,1393657.0
2005-12-31,2.33325,2.399,2.30115,2.3489,1193933.0
2006-01-31,2.3489,2.38425,2.33055,2.35635,831005.0
2006-02-28,2.35645,2.37445,2.33635,2.34995,349141.0
2006-03-31,2.35005,2.48485,2.33585,2.4248,418994.0
2006-04-30,2.4246,2.4444,2.36705,2.40345,389419.0
2006-05-31,2.40435,2.51355,2.38275,2.49895,709808.0
2006-06-30,2.49895,2.51735,2.4556,2.4879,580083.0
2006-07-31,2.4872,2.4896,2.42445,2.4496,608172.0
2006-08-31,2.4496,2.51505,2.4429,2.4841,632874.0
2006-09-30,2.4842,2.53765,2.44935,2.5178,550974.0
2006-10-31,2.5178,2.54215,2.45935,2.46325,570102.0
2006-11-30,2.46335,2.5137,2.4552,2.511,600149.0
2006-12-31,2.5112,2.521,2.4766,2.4822,583016.0
2007-01-31,2.4821,2.5482,2.45745,2.54125,749656.0
2007-02-28,2.54125,2.5499,2.4665,2.49605,622088.0
2007-03-31,2.49635,2.49885,2.4193,2.43087,676425.0
2007-04-30,2.43087,2.44678,2.37791,2.41561,734344.0
2007-05-31,2.41576,2.43399,2.37326,2.37973,831418.0
2007-06-30,2.37973,2.39162,2.32927,2.36598,643078.0
2007-07-31,2.36598,2.39503,2.31062,2.37474,722209.0
2007-08-31,2.37488,2.56532,2.35096,2.46417,944341.0
2007-09-30,2.46503,2.48192,2.28396,2.28522,796577.0
2007-10-31,2.28506,2.32034,2.2188,2.28004,1099147.0
2007-11-30,2.28004,2.38911,2.23134,2.32493,1301533.0
2007-12-31,2.32544,2.36868,2.25726,2.26735,940159.0
2008-01-31,2.26725,2.28098,2.16971,2.17324,1430233.0
2008-02-29,2.17396,2.20053,2.09526,2.13688,1159279.0
2008-03-31,2.13743,2.21379,2.10668,2.17813,1329584.0
2008-04-30,2.17806,2.19079,2.08338,2.11549,1431782.0
2008-05-31,2.11549,2.13651,2.03247,2.06749,1163552.0
2008-06-30,2.06743,2.09705,2.02995,2.0887,1285024.0
2008-07-31,2.0887,2.1273,2.03966,2.1258,1451923.0
2008-08-31,2.1258,2.20493,2.10626,2.11839,1512163.0
2008-09-30,2.11844,2.31501,2.09757,2.24752,2148452.0
2008-10-31,2.24752,2.70969,2.22981,2.4079,2756798.0
2008-11-30,2.40809,2.43436,2.2192,2.32544,3115023.0
2008-12-31,2.32544,2.35039,2.0491,2.08171,2505688.0
2009-01-31,2.08042,2.28782,2.02368,2.27359,2675096.0
2009-02-28,2.27359,2.28244,2.1711,2.23604,2243271.0
2009-03-31,2.23581,2.25743,2.05284,2.06919,2786508.0
2009-04-30,2.06919,2.0973,2.00711,2.0424,2471758.0
2009-05-31,2.04461,2.06121,1.96925,2.02993,2980391.0
2009-06-30,2.02999,2.08858,1.98793,2.03824,2058267.0
2009-07-31,2.03831,2.09801,1.98287,1.99961,1283725.0
2009-08-31,1.99961,2.02727,1.92453,1.95609,1195752.0
2009-09-30,1.95605,1.95733,1.80596,1.83459,1151052.0
2009-10-31,1.8347,1.84725,1.7332,1.82922,1127161.0
2009-11-30,1.82917,1.8361,1.76987,1.79579,1193770.0
2009-12-31,1.79561,1.83115,1.77044,1.79964,875806.0
2010-01-31,1.79974,1.81765,1.72578,1.7903,1048761.0
2010-02-28,1.79035,1.82834,1.65442,1.66376,845066.0
2010-03-31,1.66386,1.67618,1.62476,1.6602,483429.0
2010-04-30,1.66008,1.67428,1.63488,1.65262,377791.0
2010-05-31,1.65453,1.7778,1.62208,1.7625,1065213.0
2010-06-30,1.7628,1.8124,1.67493,1.79946,818715.0
2010-07-31,1.79964,1.81436,1.70556,1.73486,551877.0
2010-08-31,1.73503,1.76088,1.69526,1.69526,537641.0
2010-09-30,1.69534,1.70476,1.62034,1.62635,437716.0
2010-10-31,1.62624,1.65737,1.57676,1.6245,506858.0
2010-11-30,1.62456,1.64255,1.58358,1.61334,583854.0
2010-12-31,1.61344,1.62191,1.51514,1.52566,409234.0
2011-01-31,1.52614,1.62086,1.51398,1.59656,475819.0
2011-02-28,1.59644,1.62587,1.57615,1.60523,308373.0
2011-03-31,1.60513,1.64936,1.54474,1.5514,395004.0
2011-04-30,1.5514,1.58004,1.51918,1.52236,295062.0
2011-05-31,1.52236,1.55279,1.50428,1.53882,520790.0
2011-06-30,1.53892,1.55544,1.4888,1.4927,497525.0
2011-07-31,1.4927,1.52092,1.47608,1.48539,423922.0
2011-08-31,1.48528,1.63888,1.48217,1.50914,740276.0
2011-09-30,1.50914,1.61353,1.4989,1.61302,639579.0
2011-10-31,1.61302,1.63586,1.49966,1.54404,712790.0
2011-11-30,1.54396,1.60572,1.52134,1.53171,628678.0
2011-12-31,1.53162,1.5679,1.51179,1.51684,378843.0
2012-01-31,1.5167,1.52226,1.46868,1.47901,321816.0
2012-02-29,1.47911,1.48923,1.45566,1.4762,285853.0
2012-03-31,1.47624,1.54784,1.47205,1.53346,276769.0
2012-04-30,1.53336,1.57322,1.52604,1.56962,262787.0
2012-05-31,1.5697,1.61854,1.56556,1.58392,358359.0
2012-06-30,1.58392,1.59398,1.52826,1.5294,361310.0
2012-07-31,1.5293,1.53449,1.48188,1.48508,303333.0
2012-08-31,1.48518,1.53994,1.47104,1.53677,216154.0
2012-09-30,1.53674,1.5642,1.52798,1.55685,240212.0
