time,Open,High,Low,Close,Volume
2004-05-31,2.517,2.517,2.517,2.517,2.0
2004-06-30,2.4979,2.5153,2.4247,2.4247,52.0
2004-07-31,2.42385,2.45635,2.4066,2.42145,52.0
2004-08-31,2.43455,2.43455,2.342,2.3441,54.0
2004-09-30,2.3271,2.3382,2.26845,2.26845,52.0
2004-10-31,2.27045,2.2726,2.23715,2.2415,52.0
2004-11-30,2.2521,2.2873,2.2031,2.2873,52.0
2004-12-31,2.2981,2.3911,2.2981,2.30165,52.0
2005-01-31,2.31285,2.3455,2.2573,2.3294,1156772.0
2005-02-28,2.3298,2.3889,2.3069,2.3841,1018257.0
2005-03-31,2.3843,2.3867,2.2655,2.28555,1143785.0
2005-04-30,2.28455,2.4073,2.2809,2.40165,1083517.0
2005-05-31,2.40165,2.4077,2.2569,2.2588,1163339.0
2005-06-30,2.2588,2.2953,2.1786,2.19575,1281942.0
2005-07-31,2.19535,2.20025,2.1064,2.14305,1257510.0
2005-08-31,2.14305,2.19685,2.12115,2.1708,1318533.0
2005-09-30,2.171,2.20135,2.04615,2.05225,1239507.0
2005-10-31,2.05225,2.10835,2.03935,2.07495,1378940.0
2005-11-30,2.07495,2.10085,1.99405,2.01915,1463162.0
2005-12-31,2.01955,2.07005,1.9947,2.00075,1176645.0
2006-01-31,2.00125,2.07485,1.99695,2.02545,897470.0
2006-02-28,2.02555,2.0402,1.98125,1.98635,346443.0
2006-03-31,1.98645,2.05045,1.97555,2.03035,466387.0
2006-04-30,2.03005,2.05665,1.9916,2.0335,419223.0
2006-05-31,2.0338,2.1235,2.0264,2.05785,691188.0
2006-06-30,2.05785,2.08205,2.01625,2.06335,579626.0
2006-07-31,2.06425,2.12295,2.03345,2.1213,586691.0
2006-08-31,2.1213,2.1582,2.0868,2.10385,594442.0
2006-09-30,2.10395,2.1342,2.06965,2.09695,528010.0
2006-10-31,2.09695,2.16665,2.0887,2.1609,573008.0
2006-11-30,2.161,2.26995,2.14125,2.26795,600387.0
2006-12-31,2.26815,2.28665,2.2375,2.28445,585649.0
2007-01-31,2.28435,2.35675,2.26085,2.3178,740492.0
2007-02-28,2.3178,2.33835,2.26025,2.2958,655563.0
2007-03-31,2.2966,2.30155,2.25105,2.26809,731096.0
2007-04-30,2.26809,2.29151,2.20957,2.22053,761798.0
2007-05-31,2.22063,2.22415,2.09866,2.10319,837579.0
2007-06-30,2.10319,2.14542,2.08375,2.13582,708152.0
2007-07-31,2.13582,2.17061,2.10209,2.14681,783731.0
2007-08-31,2.14691,2.16362,2.09333,2.12945,913164.0
2007-09-30,2.13019,2.14952,1.99817,2.02685,826521.0
2007-10-31,2.02671,2.04308,1.95734,1.97801,1102323.0
2007-11-30,1.97801,2.0686,1.90191,2.0539,1214499.0
2007-12-31,2.05435,2.09164,1.94383,1.97155,945042.0
2008-01-31,1.97175,2.03549,1.93994,1.95582,1348618.0
2008-02-29,1.95582,2.00055,1.93072,1.96511,1084024.0
2008-03-31,1.9642,2.06097,1.94906,2.01805,1219454.0
2008-04-30,2.01796,2.03524,1.97132,2.01215,1340511.0
2008-05-31,2.01215,2.02868,1.92897,1.96321,1113569.0
2008-06-30,1.96316,2.04136,1.95054,2.03917,1214007.0
2008-07-31,2.03889,2.0443,1.99198,2.02894,1595752.0
2008-08-31,2.02894,2.05535,1.91471,1.92163,1730315.0
2008-09-30,1.92163,1.95512,1.86611,1.88061,2342586.0
2008-10-31,1.88061,2.07383,1.87437,1.94942,1937005.0
2008-11-30,1.94879,1.95816,1.79063,1.85825,1655242.0
2008-12-31,1.85825,1.90124,1.74873,1.78893,1564710.0
2009-01-31,1.79395,1.86003,1.6724,1.77827,1845602.0
2009-02-28,1.77836,1.84093,1.74104,1.8256,1393765.0
2009-03-31,1.82553,1.8331,1.7549,1.8231,1934033.0
2009-04-30,1.8231,1.84268,1.7537,1.76881,1764927.0
2009-05-31,1.76893,1.80931,1.73831,1.79861,1584747.0
2009-06-30,1.79861,1.93042,1.7621,1.89442,1442716.0
2009-07-31,1.89453,1.9077,1.77352,1.80094,786666.0
2009-08-31,1.80179,1.83248,1.76074,1.78432,729429.0
2009-09-30,1.78439,1.80922,1.70567,1.72936,670050.0
2009-10-31,1.72945,1.78808,1.62371,1.77907,585810.0
2009-11-30,1.77893,1.7947,1.72548,1.73758,591165.0
2009-12-31,1.73705,1.75792,1.65225,1.70231,484144.0
