time,Open,High,Low,Close,Volume
2002-12-31,2.2281,2.2281,2.2281,2.2281,2.0
2003-01-31,2.2351,2.2513,2.1994,2.2465,26.0
2003-02-28,2.2428,2.2428,2.129,2.129,24.0
2003-03-31,2.1324,2.1922,2.1118,2.1363,27.0
2003-04-30,2.16185,2.1883,2.15645,2.1653,26.0
2003-05-31,2.1565,2.1565,2.1036,2.1238,26.0
2003-06-30,2.1312,2.2445,2.1312,2.2332,26.0
2003-07-31,2.2391,2.2649,2.152,2.1989,27.0
2003-08-31,2.1966,2.2349,2.1701,2.2002,26.0
2003-09-30,2.2239,2.2439,2.1922,2.1922,26.0
2003-10-31,2.2003,2.2717,2.1823,2.2717,26.0
2003-11-30,2.2716,2.2971,2.2036,2.2306,26.0
2003-12-31,2.2283,2.2283,2.1953,2.2167,29.0
2004-01-31,2.2205,2.2943,2.2205,2.2918,52.0
2004-02-29,2.295,2.3687,2.2791,2.3687,50.0
2004-03-31,2.3827,2.3827,2.301,2.3468,54.0
2004-04-30,2.3619,2.3774,2.29305,2.3033,50.0
2004-05-31,2.3039,2.3262,2.25685,2.2928,54.0
2004-06-30,2.2938,2.3145,2.27185,2.2726,52.0
2004-07-31,2.2577,2.3322,2.2554,2.324,52.0
2004-08-31,2.3375,2.3375,2.2594,2.2594,54.0
2004-09-30,2.2587,2.2826,2.2467,2.2469,52.0
2004-10-31,2.2498,2.2561,2.1942,2.20335,50.0
2004-11-30,2.21565,2.21565,2.1551,2.20555,52.0
2004-12-31,2.21566,2.2473,2.1742,2.1861,52.0
2005-01-31,2.1887,2.24695,2.17616,2.2435,776556.0
2005-02-28,2.2435,2.27717,2.20848,2.2384,670317.0
2005-03-31,2.2384,2.26785,2.2127,2.2635,676134.0
2005-04-30,2.2634,2.28867,2.24935,2.2817,622412.0
2005-05-31,2.2819,2.28525,2.2351,2.2755,665692.0
2005-06-30,2.2756,2.33116,2.2677,2.2915,729415.0
2005-07-31,2.2915,2.29626,2.2346,2.2618,701376.0
2005-08-31,2.2618,2.29305,2.236,2.2645,730269.0
2005-09-30,2.2644,2.30813,2.25275,2.2827,684194.0
2005-10-31,2.2818,2.2929,2.24515,2.27428,710421.0
2005-11-30,2.27408,2.29442,2.25195,2.2812,742481.0
2005-12-31,2.2812,2.30212,2.25665,2.2622,682401.0
2006-01-31,2.2621,2.2903,2.23701,2.2878,697130.0
2006-02-28,2.2876,2.30555,2.2575,2.2972,475080.0
2006-03-31,2.2974,2.2985,2.26169,2.26535,538510.0
