time,Open,High,Low,Close,Volume
2003-01-31,191.305,197.44,189.54,197.44,28.0
2003-02-28,197.2,197.63,184.63,185.88,24.0
2003-03-31,185.96,189.97,185.64,186.27,27.0
2003-04-30,186.37,191.48,186.21,191.0,26.0
2003-05-31,191.06,195.22,185.94,194.69,26.0
2003-06-30,194.38,198.95,193.74,198.545,26.0
2003-07-31,196.765,197.2,187.37,193.57,27.0
2003-08-31,193.62,193.915,183.115,183.115,26.0
2003-09-30,182.725,188.28,182.07,184.7,26.0
2003-10-31,184.92,186.26,180.56,186.26,26.0
2003-11-30,186.28,188.78,181.08,187.98,26.0
2003-12-31,187.825,191.39,186.02,191.39,29.0
2004-01-31,191.76,197.03,191.21,192.88,52.0
2004-02-29,192.14,204.55,192.14,203.46,50.0
2004-03-31,202.53,207.01,191.89,192.6,54.0
2004-04-30,191.38,196.48,191.025,196.48,50.0
2004-05-31,196.42,203.725,194.895,203.48,54.0
2004-06-30,201.62,204.58,195.535,197.225,52.0
2004-07-31,198.3,203.755,198.3,202.43,52.0
2004-08-31,202.325,204.06,196.29,196.375,54.0
2004-09-30,196.04,201.925,193.885,198.78,52.0
2004-10-31,199.11,199.11,194.38,195.195,50.0
2004-11-30,195.295,198.375,191.49,198.375,52.0
2004-12-31,198.635,203.545,196.47,196.47,52.0
2005-01-31,196.78,197.3,189.555,195.335,785328.0
2005-02-28,195.345,202.027,194.539,200.546,671836.0
2005-03-31,200.546,203.035,197.528,202.425,701377.0
2005-04-30,202.565,205.355,199.76,200.305,658607.0
2005-05-31,200.325,200.835,195.588,196.775,681850.0
2005-06-30,196.795,200.415,194.16,197.585,775650.0
2005-07-31,197.585,198.635,192.66,198.415,760584.0
2005-08-31,198.415,201.605,196.79,201.43,888091.0
2005-09-30,201.44,203.495,198.695,200.245,895060.0
2005-10-31,200.275,206.635,199.205,206.106,981700.0
2005-11-30,206.076,209.035,203.485,208.875,979749.0
2005-12-31,208.875,213.06,201.155,202.995,906128.0
2006-01-31,202.985,209.925,200.555,209.436,800243.0
2006-02-28,209.456,211.175,201.675,203.126,464320.0
2006-03-31,203.136,206.2,202.515,204.59,520537.0
2006-04-30,204.605,210.829,203.845,207.045,508400.0
2006-05-31,207.045,211.492,205.429,210.284,894721.0
2006-06-30,210.293,213.736,209.592,211.514,731802.0
2006-07-31,211.427,216.585,209.567,214.975,695084.0
2006-08-31,214.975,223.846,214.363,223.097,697961.0
2006-09-30,223.104,223.224,217.365,221.662,611023.0
2006-10-31,221.665,224.4,220.481,223.413,594369.0
