time,Open,High,Low,Close,Volume
2004-05-31,2.92615,2.92615,2.92615,2.92615,2.0
2004-06-30,2.95225,2.98045,2.83885,2.83885,52.0
2004-07-31,2.82825,2.90315,2.8179,2.85775,52.0
2004-08-31,2.85535,2.85535,2.70635,2.735,54.0
2004-09-30,2.76055,2.76055,2.66525,2.66525,52.0
2004-10-31,2.67565,2.68595,2.61855,2.6818,52.0
2004-11-30,2.6821,2.70175,2.6169,2.69275,52.0
2004-12-31,2.68825,2.7247,2.6719,2.6719,52.0
2005-01-31,2.6708,2.70775,2.61455,2.64625,929985.0
2005-02-28,2.64625,2.66545,2.60515,2.64145,854478.0
2005-03-31,2.64145,2.66555,2.5643,2.6562,982438.0
2005-04-30,2.6551,2.67185,2.59775,2.6118,927459.0
2005-05-31,2.6118,2.61905,2.5474,2.5945,1031429.0
2005-06-30,2.5948,2.60345,2.53695,2.58455,1176759.0
2005-07-31,2.58415,2.62565,2.52725,2.58525,1209036.0
2005-08-31,2.58525,2.6068,2.5526,2.59935,1255247.0
2005-09-30,2.59955,2.61485,2.53865,2.55175,1242863.0
2005-10-31,2.55205,2.55725,2.49985,2.53125,1223787.0
2005-11-30,2.53125,2.6409,2.43755,2.45685,1196235.0
2005-12-31,2.45685,2.5961,2.4136,2.52015,995712.0
2006-01-31,2.52015,2.6374,2.51755,2.5938,749626.0
2006-02-28,2.5939,2.6563,2.5531,2.6337,347453.0
2006-03-31,2.6339,2.90815,2.6154,2.8241,408711.0
2006-04-30,2.8238,2.90145,2.79635,2.8689,370241.0
2006-05-31,2.8692,3.06035,2.85295,2.9687,646692.0
2006-06-30,2.9687,3.06805,2.9011,3.0344,543820.0
2006-07-31,3.0357,3.04715,2.9046,3.02355,537026.0
2006-08-31,3.02355,3.06915,2.8971,2.90665,560460.0
2006-09-30,2.90675,2.9552,2.819,2.87375,517790.0
2006-10-31,2.87335,2.8873,2.8047,2.8373,543888.0
2006-11-30,2.8374,2.9001,2.8271,2.87795,567938.0
2006-12-31,2.87815,2.8872,2.77005,2.7806,556138.0
2007-01-31,2.7804,2.89375,2.753,2.8825,727672.0
2007-02-28,2.8825,2.9071,2.7569,2.8254,593763.0
2007-03-31,2.8254,2.8551,2.7254,2.75096,623096.0
2007-04-30,2.75096,2.76085,2.67637,2.69835,644957.0
2007-05-31,2.69849,2.74372,2.65701,2.66061,732993.0
2007-06-30,2.66061,2.67201,2.57555,2.60197,599935.0
2007-07-31,2.60197,2.68354,2.54424,2.65207,669063.0
2007-08-31,2.6522,2.96252,2.64027,2.87453,843181.0
2007-09-30,2.87553,2.97173,2.6631,2.66551,718112.0
2007-10-31,2.66533,2.77737,2.61342,2.74336,981838.0
2007-11-30,2.74336,2.77868,2.65602,2.69021,1077682.0
2007-12-31,2.6908,2.71497,2.56331,2.58686,807634.0
2008-01-31,2.58712,2.62246,2.46694,2.4722,1186982.0
2008-02-29,2.4722,2.52293,2.41235,2.49068,984539.0
2008-03-31,2.49775,2.55739,2.44833,2.5112,1114242.0
2008-04-30,2.51108,2.55848,2.45854,2.53906,1216106.0
2008-05-31,2.53906,2.58281,2.48589,2.52011,1108416.0
2008-06-30,2.52005,2.63959,2.49228,2.63284,1219924.0
2008-07-31,2.63277,2.73185,2.58669,2.71573,1311640.0
2008-08-31,2.71573,2.77618,2.57893,2.58791,1370233.0
2008-09-30,2.58791,2.76662,2.5745,2.6391,2179206.0
2008-10-31,2.6391,3.01545,2.62425,2.75962,2586434.0
2008-11-30,2.75969,2.8613,2.57141,2.80847,2709031.0
2008-12-31,2.80847,2.83998,2.45568,2.52824,2434918.0
2009-01-31,2.52667,2.86038,2.44772,2.84612,2565548.0
2009-02-28,2.84628,2.87305,2.71049,2.85986,2014825.0
2009-03-31,2.85956,2.89238,2.4925,2.54802,2503643.0
2009-04-30,2.54802,2.64894,2.48673,2.62051,2137638.0
2009-05-31,2.61928,2.61928,2.48508,2.53005,2505836.0
2009-06-30,2.53013,2.61606,2.50883,2.57773,1897995.0
2009-07-31,2.57789,2.61014,2.48593,2.52568,1358004.0
2009-08-31,2.52568,2.54857,2.36206,2.39303,1269156.0
2009-09-30,2.39297,2.42339,2.19579,2.23187,1263779.0
2009-10-31,2.2318,2.30044,2.12979,2.29026,1303067.0
2009-11-30,2.29019,2.33115,2.23266,2.28829,1312511.0
2009-12-31,2.28806,2.30949,2.20648,2.23422,953835.0
2010-01-31,2.23385,2.29871,2.16092,2.25236,1120149.0
2010-02-28,2.25244,2.29924,2.12966,2.14244,907225.0
2010-03-31,2.14256,2.1959,2.0919,2.15962,386408.0
2010-04-30,2.1595,2.17978,2.0856,2.10156,307045.0
2010-05-31,2.10362,2.18217,2.03375,2.17064,722897.0
2010-06-30,2.17044,2.2111,2.07441,2.19762,525046.0
2010-07-31,2.19747,2.21578,2.09858,2.16448,350570.0
2010-08-31,2.1644,2.22575,2.15157,2.17062,387034.0
2010-09-30,2.17075,2.17528,2.09273,2.12536,326524.0
2010-10-31,2.12338,2.1478,2.07396,2.0901,359628.0
2010-11-30,2.09021,2.10298,2.02993,2.086,390511.0
2010-12-31,2.08621,2.12364,1.99316,2.00174,289097.0
2011-01-31,2.00238,2.11556,1.98628,2.06588,334816.0
2011-02-28,2.06574,2.18106,2.06192,2.1769,272258.0
2011-03-31,2.17701,2.25314,2.0922,2.10005,327034.0
2011-04-30,2.10005,2.12462,2.03712,2.06206,248930.0
2011-05-31,2.06208,2.10084,1.98886,2.00514,398158.0
2011-06-30,2.00505,2.02153,1.9272,1.9433,460353.0
2011-07-31,1.9433,1.95212,1.85468,1.85907,403524.0
2011-08-31,1.859,2.0428,1.85786,1.9016,621563.0
2011-09-30,1.90168,2.04784,1.89504,2.04678,603174.0
2011-10-31,2.04678,2.05916,1.95165,2.00569,619952.0
2011-11-30,2.00583,2.10472,2.00445,2.01288,535055.0
2011-12-31,2.0131,2.07123,1.98711,1.99559,322501.0
2012-01-31,1.99536,2.00074,1.89716,1.90204,316825.0
2012-02-29,1.90222,1.91381,1.86365,1.90064,277726.0
2012-03-31,1.90074,1.96738,1.899,1.94544,270748.0
2012-04-30,1.9452,1.99769,1.91698,1.98952,257585.0
2012-05-31,1.98962,2.10554,1.98936,2.03597,357681.0
2012-06-30,2.0373,2.04554,1.9505,1.96061,341577.0
2012-07-31,1.96035,1.984,1.91778,1.92382,302883.0
2012-08-31,1.92368,1.98394,1.89628,1.97442,234970.0
2012-09-30,1.97444,2.00702,1.93682,1.94902,264918.0
2012-10-31,1.94892,1.98482,1.937,1.95044,248637.0
2012-11-30,1.95062,1.96665,1.92708,1.95176,196307.0
2012-12-31,1.95176,1.97853,1.90668,1.96551,622591.0
2013-01-31,1.96136,1.9619,1.85608,1.85654,1476739.0
2013-02-28,1.85654,1.89766,1.7958,1.82308,3012201.0
2013-03-31,1.82308,1.84574,1.7991,1.81942,3412462.0
2013-04-30,1.81941,1.83659,1.77066,1.83011,2593409.0
2013-05-31,1.83012,1.9145,1.81931,1.9145,2546826.0
2013-06-30,1.90736,2.00572,1.88993,1.94555,2718315.0
