time,Open,High,Low,Close,Volume
2023-01-01 23:00:00+00:00,1.20763,1.21026,1.20677,1.21013,47
2023-01-02 00:00:00+00:00,1.21002,1.21023,1.20836,1.20891,503
2023-01-02 01:00:00+00:00,1.20892,1.2106,1.20842,1.20882,760
2023-01-02 02:00:00+00:00,1.20868,1.20882,1.20757,1.20774,43
2023-01-02 03:00:00+00:00,1.20765,1.20806,1.20764,1.20769,38
2023-01-02 04:00:00+00:00,1.20782,1.20805,1.20775,1.20794,108
2023-01-02 05:00:00+00:00,1.20802,1.20804,1.20734,1.20757,53
2023-01-02 06:00:00+00:00,1.20765,1.20787,1.20664,1.20747,2700
2023-01-02 07:00:00+00:00,1.20755,1.20777,1.20602,1.20626,2493
2023-01-02 08:00:00+00:00,1.2063,1.20778,1.2045,1.20455,6772
2023-01-02 09:00:00+00:00,1.20434,1.20626,1.20434,1.20466,9394
2023-01-02 10:00:00+00:00,1.20465,1.20548,1.20459,1.20524,5697
2023-01-02 11:00:00+00:00,1.20524,1.20544,1.20504,1.20532,2059
2023-01-02 12:00:00+00:00,1.20531,1.2054,1.20509,1.20518,1355
2023-01-02 13:00:00+00:00,1.20518,1.20537,1.2051,1.20512,937
2023-01-02 14:00:00+00:00,1.20512,1.20532,1.20509,1.20514,829
2023-01-02 15:00:00+00:00,1.20515,1.20528,1.20432,1.20444,1147
2023-01-02 16:00:00+00:00,1.20438,1.20485,1.20346,1.20472,8665
2023-01-02 17:00:00+00:00,1.20475,1.20488,1.2045,1.20478,1289
2023-01-02 18:00:00+00:00,1.20477,1.20483,1.20454,1.20469,1140
2023-01-02 19:00:00+00:00,1.20469,1.2048,1.20445,1.20464,434
2023-01-02 20:00:00+00:00,1.20464,1.2051,1.20462,1.20487,188
2023-01-02 21:00:00+00:00,1.20479,1.20505,1.20461,1.20483,329
2023-01-02 22:00:00+00:00,1.20475,1.20512,1.2043,1.20505,203
2023-01-02 23:00:00+00:00,1.20508,1.20764,1.20488,1.2063,6613
2023-01-03 00:00:00+00:00,1.20626,1.2066,1.20484,1.20542,5387
2023-01-03 01:00:00+00:00,1.20541,1.20563,1.20352,1.20511,12489
2023-01-03 02:00:00+00:00,1.20508,1.20844,1.20498,1.20788,8848
2023-01-03 03:00:00+00:00,1.20792,1.2085,1.20704,1.20744,7853
2023-01-03 04:00:00+00:00,1.20746,1.20848,1.20726,1.2073,5254
2023-01-03 05:00:00+00:00,1.2073,1.20778,1.20634,1.20695,7470
2023-01-03 06:00:00+00:00,1.20694,1.20748,1.20578,1.20628,8581
