time,Open,High,Low,Close,Volume
2003-03-31,1088.3,1088.8,1021.1,1028.0,4615.0
2003-04-30,1037.5,1132.2,1024.0,1102.0,13156.0
2003-05-31,1118.0,1202.8,1105.9,1198.3,12192.0
2003-06-30,1207.7,1267.4,1176.9,1221.3,95534.0
2003-07-31,1220.8,1317.5,1220.3,1265.6,120915.0
2003-08-31,1264.7,1345.4,1202.9,1341.5,92072.0
2003-09-30,1348.5,1402.0,1300.6,1332.0,102085.0
2003-10-31,1332.5,1443.3,1323.6,1412.9,123370.0
2003-11-30,1411.0,1457.1,1355.6,1442.9,107403.0
2003-12-31,1443.4,1478.6,1372.2,1467.6,72331.0
2004-01-31,1472.6,1562.7,1460.1,1492.7,110630.0
2004-02-29,1493.2,1525.3,1451.9,1490.9,107342.0
2004-03-31,1490.4,1495.9,1362.8,1454.4,101473.0
2004-04-30,1454.9,1508.5,1397.9,1397.9,107394.0
2004-05-31,1398.0,1470.8,1371.5,1466.0,121388.0
2004-06-30,1467.5,1525.4,1441.0,1491.0,69914.0
2004-07-31,1490.0,1494.0,1358.1,1404.2,98650.0
2004-08-31,1397.8,1408.8,1300.8,1378.0,94165.0
2004-09-30,1377.5,1453.7,1369.0,1453.2,65667.0
2004-10-31,1451.8,1497.7,1415.4,1485.9,93351.0
2004-11-30,1486.4,1608.1,1485.4,1602.6,83150.0
2004-12-31,1603.1,1635.9,1577.6,1615.1,57514.0
2005-01-31,1619.8,1635.8,1479.3,1529.4,101425.0
2005-02-28,1528.9,1561.8,1488.3,1521.8,78776.0
2005-03-31,1521.3,1553.9,1456.2,1472.0,74446.0
2005-04-30,1471.7,1505.0,1393.3,1421.7,87784.0
2005-05-31,1421.9,1569.0,1415.0,1556.5,76413.0
2005-06-30,1557.0,1575.2,1489.1,1491.1,54054.0
2005-07-31,1491.8,1623.8,1456.9,1608.8,62331.0
2005-08-31,1609.3,1629.9,1542.3,1576.3,67896.0
2005-09-30,1576.8,1620.2,1552.6,1605.4,48133.0
2005-10-31,1605.1,1619.8,1515.0,1578.7,84283.0
2005-11-30,1578.2,1707.5,1571.4,1704.0,62986.0
2005-12-31,1703.5,1717.7,1641.1,1641.6,41867.0
2006-01-31,1646.1,1762.3,1633.8,1715.4,85663.0
2006-02-28,1714.9,1715.4,1636.7,1695.4,75083.0
2006-03-31,1695.4,1721.9,1617.3,1709.7,65540.0
2006-04-30,1709.9,1751.5,1680.6,1685.8,114205.0
2006-05-31,1685.8,1720.3,1553.1,1615.8,154174.0
2006-06-30,1616.3,1632.2,1510.3,1575.7,125437.0
2006-07-31,1576.4,1586.5,1445.5,1484.2,148547.0
2006-08-31,1484.0,1594.2,1474.3,1587.7,135744.0
2006-09-30,1587.5,1666.5,1558.3,1654.3,96659.0
2006-10-31,1655.0,1746.3,1623.3,1709.1,142760.0
2006-11-30,1708.8,1824.7,1692.6,1779.6,131653.0
2006-12-31,1778.8,1825.7,1744.3,1758.0,81059.0
2007-01-31,1763.5,1853.4,1731.2,1793.2,159247.0
2007-02-28,1792.9,1852.1,1717.3,1751.6,138256.0
2007-03-31,1751.8,1812.7,1702.4,1775.1,129887.0
2007-04-30,1776.0,1897.9,1762.8,1875.9,114391.0
2007-05-31,1875.9,1941.9,1867.2,1928.8,140649.0
2007-06-30,1930.0,1950.4,1872.8,1937.3,120329.0
2007-07-31,1934.1,2060.2,1910.9,1950.1,191987.0
2007-08-31,1950.4,1994.7,1805.2,1986.9,260320.0
2007-09-30,1987.5,2122.6,1944.6,2113.8,133665.0
2007-10-31,2113.3,2242.1,2089.2,2199.8,239722.0
2007-11-30,2199.6,2224.0,1973.6,2089.9,305802.0
2007-12-31,2087.9,2148.6,1999.5,2086.3,144101.0
2008-01-31,2092.1,2098.1,1687.4,1855.0,369391.0
2008-02-29,1855.0,1859.6,1704.7,1751.2,242458.0
2008-03-31,1744.4,1856.0,1666.8,1852.5,232170.0
2008-04-30,1852.0,1981.6,1776.5,1979.8,225078.0
2008-05-31,1979.6,2051.5,1943.7,2033.0,203683.0
2008-06-30,2033.7,2061.1,1807.8,1862.6,238242.0
2008-07-31,1862.3,1879.1,1758.9,1827.6,314464.0
2008-08-31,1828.3,1973.0,1799.5,1875.2,225279.0
2008-09-30,1875.0,1913.5,1487.8,1572.4,294098.0
2008-10-31,1572.9,1583.4,1133.3,1332.8,489652.0
2008-11-30,1331.9,1385.5,1016.1,1089.2,360411.0
2008-12-31,1089.4,1251.8,1088.4,1199.6,218372.0
2009-01-31,1209.3,1286.6,1131.7,1181.5,267059.0
2009-02-28,1180.8,1285.8,1107.2,1112.2,270443.0
2009-03-31,1114.2,1284.0,1040.2,1252.5,265227.0
2009-04-30,1251.8,1418.7,1251.0,1400.1,245443.0
2009-05-31,1398.8,1482.8,1337.7,1470.8,233189.0
2009-06-30,1471.3,1518.0,1412.9,1479.4,176261.0
2009-07-31,1479.6,1632.6,1393.5,1601.6,202051.0
2009-08-31,1601.8,1668.8,1561.6,1595.7,207263.0
2009-09-30,1596.2,1755.2,1584.7,1671.1,159993.0
2009-10-31,1671.4,1780.5,1651.4,1663.5,208440.0
2009-11-30,1662.0,1814.5,1651.2,1790.4,185296.0
2009-12-31,1790.6,1883.3,1758.9,1868.5,118107.0
2010-01-31,1867.0,1901.4,1732.7,1758.3,203171.0
2010-02-28,1757.8,1848.6,1711.5,1845.3,191970.0
2010-03-31,1845.1,1979.6,1842.8,1956.1,143188.0
2010-04-30,1956.3,2060.4,1951.1,2005.5,170832.0
2010-05-31,2003.7,2039.4,1733.9,1835.0,351774.0
2010-06-30,1835.2,1941.5,1698.6,1728.4,261706.0
2010-07-31,1729.1,1901.0,1706.1,1864.0,242198.0
2010-08-31,1869.0,1918.2,1746.1,1820.1,239689.0
2010-09-30,1820.3,2033.5,1813.1,1996.6,178341.0
2010-10-31,2000.2,2148.1,1963.4,2129.9,213607.0
2010-11-30,2129.4,2199.4,2084.6,2159.8,214457.0
2010-12-31,2159.5,2239.2,2157.5,2224.4,110347.0
