time,Open,High,Low,Close,Volume
2004-05-31,69.535,69.535,69.535,69.535,2.0
2004-06-30,68.29,69.88,67.73,69.475,52.0
2004-07-31,70.115,71.785,69.61,70.82,52.0
2004-08-31,70.86,73.775,70.86,71.81,54.0
2004-09-30,71.015,74.585,70.8,74.585,52.0
2004-10-31,74.425,75.285,72.635,72.78,48.0
2004-11-30,72.82,73.77,72.82,73.67,52.0
2004-12-31,73.89,74.89,73.545,73.545,52.0
2005-01-31,73.635,74.295,70.795,73.82,901779.0
2005-02-28,73.82,76.865,73.34,75.925,880775.0
2005-03-31,75.925,78.065,75.52,76.205,1163547.0
2005-04-30,76.245,78.425,76.035,76.685,1087261.0
2005-05-31,76.705,77.455,75.35,75.845,1143901.0
2005-06-30,75.845,78.4,75.235,76.455,1377378.0
2005-07-31,76.455,76.865,75.115,76.755,1422222.0
2005-08-31,76.755,77.86,76.24,77.49,1561302.0
2005-09-30,77.49,78.715,76.685,78.475,1449208.0
2005-10-31,78.465,81.785,78.415,81.435,1378439.0
2005-11-30,81.425,85.115,77.635,85.005,1207187.0
2005-12-31,85.005,87.155,78.045,80.47,1135931.0
2006-01-31,80.47,81.075,77.515,80.745,796002.0
2006-02-28,80.745,82.025,76.185,77.145,337541.0
2006-03-31,77.135,78.085,70.53,72.455,397037.0
2006-04-30,72.475,74.76,70.685,72.17,359445.0
2006-05-31,72.16,73.165,67.815,70.835,652775.0
2006-06-30,70.835,72.455,68.875,69.705,560371.0
2006-07-31,69.685,73.565,69.345,71.09,547191.0
2006-08-31,71.09,77.105,70.445,76.755,524771.0
2006-09-30,76.755,78.675,74.005,77.145,496705.0
2006-10-31,77.155,79.525,76.73,78.735,480980.0
2006-11-30,78.735,79.565,77.395,79.455,461305.0
2006-12-31,79.415,84.215,78.355,83.875,463942.0
2007-01-31,83.875,85.475,81.0,82.435,631192.0
2007-02-28,82.425,85.835,80.99,81.525,504178.0
2007-03-31,81.525,85.165,77.465,84.126,577125.0
2007-04-30,84.126,89.029,83.787,88.785,546738.0
2007-05-31,88.778,91.1,86.886,90.987,703162.0
2007-06-30,90.975,95.541,90.514,95.059,567053.0
2007-07-31,95.071,97.791,88.611,91.162,676965.0
2007-08-31,91.15,92.235,74.313,81.236,976496.0
2007-09-30,81.278,88.895,76.983,88.738,714576.0
2007-10-31,88.745,91.468,83.641,86.944,930799.0
2007-11-30,86.948,90.088,80.328,85.038,1184598.0
2007-12-31,84.996,89.125,83.196,85.744,813492.0
2008-01-31,85.74,86.508,78.185,84.645,1276969.0
2008-02-29,84.685,88.112,82.766,82.845,1010175.0
2008-03-31,82.61,83.687,76.755,80.135,1265876.0
2008-04-30,80.134,82.926,79.113,81.22,1215578.0
2008-05-31,81.227,83.042,78.533,82.33,1151883.0
2008-06-30,82.33,82.688,79.758,80.415,1229849.0
2008-07-31,80.417,82.018,77.892,78.318,1329607.0
2008-08-31,78.318,79.2,73.99,75.279,1342804.0
2008-09-30,75.279,75.288,67.256,70.889,2250937.0
2008-10-31,70.889,71.462,49.244,57.359,2084037.0
2008-11-30,57.411,61.58,48.668,49.4,1806508.0
2008-12-31,49.401,54.154,47.791,52.772,1530980.0
2009-01-31,52.786,56.336,45.07,45.782,1618287.0
2009-02-28,45.777,50.511,44.225,48.813,1351375.0
2009-03-31,48.813,57.163,47.735,55.938,1730181.0
2009-04-30,55.939,60.385,52.912,56.44,1663916.0
2009-05-31,56.61,63.35,55.213,62.778,1596294.0
2009-06-30,62.754,63.398,59.448,61.789,1106376.0
2009-07-31,61.786,63.102,56.89,62.656,910942.0
2009-08-31,62.716,65.937,62.424,62.733,949514.0
2009-09-30,62.736,66.392,61.728,64.059,862194.0
2009-10-31,64.062,69.742,63.073,64.237,881343.0
2009-11-30,64.225,67.09,59.902,62.918,837183.0
2009-12-31,62.916,67.799,62.035,67.294,667865.0
2010-01-31,67.261,68.687,62.764,64.196,801197.0
2010-02-28,64.19,64.686,60.484,62.362,752084.0
2010-03-31,62.367,66.512,60.616,66.428,729585.0
2010-04-30,66.426,69.009,64.786,68.192,622143.0
2010-05-31,68.005,69.37,58.674,61.386,1343133.0
2010-06-30,61.383,65.314,59.578,60.496,894082.0
2010-07-31,60.498,64.69,59.684,62.675,685889.0
2010-08-31,62.7,63.722,58.43,60.121,702726.0
2010-09-30,60.128,62.989,59.684,61.944,603595.0
2010-10-31,62.043,62.665,60.44,61.762,595081.0
2010-11-30,61.759,65.384,61.469,63.048,736843.0
2010-12-31,63.046,63.516,61.726,63.312,538676.0
2011-01-31,63.263,64.256,62.464,63.57,602500.0
2011-02-28,63.568,63.918,60.85,61.164,445569.0
2011-03-31,61.167,64.662,54.96,64.48,749719.0
2011-04-30,64.48,66.717,64.26,65.785,622285.0
2011-05-31,65.639,67.429,62.551,65.94,807751.0
2011-06-30,65.942,66.996,64.344,66.867,690233.0
2011-07-31,66.867,68.89,64.119,67.678,625528.0
2011-08-31,67.67,68.152,61.402,65.456,894992.0
2011-09-30,65.453,65.62,58.262,58.667,722210.0
2011-10-31,58.667,64.588,57.344,62.308,720025.0
2011-11-30,62.311,62.39,57.036,60.563,604429.0
2011-12-31,60.565,61.149,58.258,59.801,391635.0
2012-01-31,59.797,63.814,59.484,63.432,390508.0
2012-02-29,63.435,68.347,63.216,68.097,426531.0
2012-03-31,68.094,69.138,65.31,68.393,490403.0
2012-04-30,68.398,68.446,64.765,65.279,454420.0
2012-05-31,65.276,65.61,57.97,58.867,516167.0
2012-06-30,58.78,64.221,58.616,63.941,495286.0
2012-07-31,63.937,64.4,61.008,63.338,444298.0
2012-08-31,63.343,64.722,62.618,62.982,349959.0
2012-09-30,62.724,65.706,62.044,64.546,390168.0
2012-10-31,64.549,66.36,63.664,66.26,364127.0
2012-11-30,66.257,68.088,64.276,67.673,342336.0
2012-12-31,67.673,71.624,67.273,71.556,539255.0
2013-01-31,71.894,78.538,71.894,78.466,1373430.0
2013-02-28,78.466,79.642,75.11,77.198,2227751.0
2013-03-31,77.198,79.902,76.495,78.039,2077262.0
2013-04-30,78.036,86.414,77.79,82.765,2587248.0
2013-05-31,82.767,84.879,79.748,79.753,2788839.0
2013-06-30,80.09,80.768,74.459,77.938,3743904.0
2013-07-31,77.895,80.436,76.694,78.55,3036590.0
2013-08-31,78.555,79.896,75.114,75.867,2421590.0
2013-09-30,76.43,83.68,76.104,81.104,2162866.0
2013-10-31,81.105,83.979,79.888,81.576,2149372.0
2013-11-30,81.604,84.19,81.244,83.218,1690438.0
2013-12-31,83.6,86.71,83.231,86.708,1709721.0
2014-01-31,86.252,87.459,82.435,82.482,2203140.0
2014-02-28,82.642,85.906,81.429,85.332,1724129.0
2014-03-31,84.844,89.934,84.527,89.566,1734883.0
2014-04-30,89.544,89.56,87.246,88.326,1546845.0
2014-05-31,88.3,89.293,85.861,86.438,1387226.0
2014-06-30,86.512,89.402,86.234,89.079,1290709.0
2014-07-31,89.083,89.706,86.682,87.34,1193876.0
2014-08-31,87.263,87.565,85.746,87.412,1106496.0
2014-09-30,87.402,88.988,84.356,84.789,1947963.0
2014-10-31,84.806,88.026,83.366,87.546,2644706.0
2014-11-30,87.597,93.684,87.274,93.129,2732876.0
2014-12-31,93.14,94.051,89.979,93.434,2760385.0
2015-01-31,93.396,93.752,84.773,85.306,3024801.0
2015-02-28,84.859,90.6,84.076,90.494,2222828.0
2015-03-31,90.47,91.902,87.314,89.235,2807638.0
2015-04-30,89.233,92.418,88.843,90.627,2535785.0
2015-05-31,90.51,90.788,87.754,88.476,2721587.0
2015-06-30,88.486,89.278,82.509,82.952,2668566.0
2015-07-31,82.945,83.296,80.467,81.644,2368487.0
2015-08-31,81.856,82.649,73.248,75.574,2901671.0
2015-09-30,75.552,77.82,74.458,76.732,2627551.0
2015-10-31,76.737,82.694,76.17,81.736,2224175.0
2015-11-30,81.105,82.152,79.476,82.038,1976514.0
2015-12-31,82.04,83.374,79.742,82.169,1980757.0
2016-01-31,82.092,82.252,73.652,79.222,3047376.0
2016-02-29,79.23,79.248,73.222,75.569,3139333.0
2016-03-31,75.572,78.214,74.442,77.139,2632926.0
2016-04-30,76.891,77.363,72.892,74.176,2250352.0
2016-05-31,74.089,75.416,72.547,74.667,2263715.0
2016-06-30,74.694,77.748,69.211,73.541,2818230.0
2016-07-31,73.524,76.848,71.254,73.444,2526655.0
2016-08-31,73.445,75.4,72.222,75.175,2094490.0
2016-09-30,75.196,76.069,72.658,73.83,2291539.0
2016-10-31,73.685,75.445,72.748,74.798,2047476.0
2016-11-30,74.794,81.261,73.703,80.854,3276104.0
2016-12-31,80.894,83.74,80.152,81.044,2140740.0
2017-01-31,81.263,83.806,80.726,82.442,3262963.0
2017-02-28,82.416,82.602,80.52,81.25,2384617.0
2017-03-31,81.251,81.5,77.47,78.05,2545913.0
2017-04-30,78.027,78.152,75.682,77.261,2088616.0
2017-05-31,77.251,79.376,76.273,78.622,2450156.0
2017-06-30,78.622,82.49,78.39,82.433,2090936.0
2017-07-31,82.18,83.911,81.68,82.424,2586881.0
2017-08-31,82.408,82.498,78.288,78.918,2575658.0
2017-09-30,78.303,82.762,78.188,81.125,2557057.0
2017-10-31,81.332,81.402,77.352,78.618,2353270.0
2017-11-30,78.647,79.465,76.096,77.35,2080784.0
2017-12-31,77.425,80.176,76.939,79.955,1460321.0
2018-01-31,80.046,81.565,79.168,80.91,2630060.0
2018-02-28,80.932,81.034,76.618,77.003,2862649.0
2018-03-31,77.037,78.626,75.543,76.931,2368740.0
2018-04-30,76.907,79.616,76.17,76.952,1969803.0
2018-05-31,76.98,77.502,74.564,76.472,2610329.0
2018-06-30,76.472,77.901,74.403,75.007,2039302.0
2018-07-31,75.177,76.862,74.083,75.859,2048490.0
2018-08-31,75.886,75.906,72.355,73.505,1871723.0
2018-09-30,73.526,75.548,72.256,75.39,1669872.0
2018-10-31,75.336,75.376,72.338,74.993,2442852.0
2018-11-30,74.956,78.175,74.756,78.097,2147070.0
2018-12-31,78.644,78.864,73.51,73.635,2199761.0
2019-01-31,73.635,75.728,70.704,75.496,2293673.0
2019-02-28,75.526,76.552,73.831,76.073,1802084.0
2019-03-31,76.372,76.784,74.744,75.782,1977650.0
2019-04-30,75.651,75.958,73.622,73.764,1585136.0
2019-05-31,73.774,74.099,70.676,70.712,1726390.0
2019-06-30,70.718,72.936,70.27,72.386,1929846.0
2019-07-31,72.338,73.244,70.324,70.351,1854704.0
2019-08-31,70.396,70.474,66.32,67.052,2683967.0
2019-09-30,66.882,69.686,66.666,67.274,1888640.0
2019-10-31,67.267,69.96,66.935,69.546,1796850.0
2019-11-30,69.638,70.526,68.884,70.329,1373758.0
2019-12-31,70.452,73.539,70.374,73.112,1407007.0
2020-01-31,73.124,73.348,69.999,70.068,1582119.0
2020-02-29,70.166,71.346,66.76,67.549,1851174.0
2020-03-31,66.586,68.07,59.502,63.354,7820330.0
2020-04-30,63.354,66.166,63.084,64.806,2722435.0
2020-05-31,64.712,67.778,63.482,67.71,2089484.0
2020-06-30,67.697,71.672,67.517,69.61,3425704.0
2020-07-31,69.595,71.676,69.529,70.188,2185965.0
2020-08-31,70.177,71.866,68.758,71.626,2368658.0
2020-09-30,71.626,71.979,68.636,70.171,2065142.0
2020-10-31,70.178,70.512,68.873,69.186,1890355.0
2020-11-30,69.12,73.832,68.94,73.706,2806544.0
2020-12-31,73.734,74.63,72.722,74.208,2184441.0
2021-01-31,74.172,75.65,73.654,75.1,2795888.0
2021-02-28,75.1,79.215,74.994,77.564,2607207.0
2021-03-31,77.538,79.143,75.634,77.627,2971314.0
2021-04-30,77.623,79.168,76.663,78.317,1947070.0
2021-05-31,78.456,80.185,77.708,79.453,2257802.0
2021-06-30,79.444,79.71,76.222,77.746,2136053.0
2021-07-31,77.759,78.77,75.272,76.463,2382304.0
2021-08-31,76.451,78.013,74.566,77.786,2221589.0
2021-09-30,77.758,78.654,76.338,77.092,2560311.0
2021-10-31,76.961,82.521,76.664,81.912,2562001.0
2021-11-30,81.891,81.971,76.668,76.796,1369519.0
2021-12-31,76.788,78.936,75.966,78.782,775399.0
2022-01-31,78.704,79.244,75.238,76.138,884977.0
2022-02-28,76.113,78.376,75.592,77.658,1037806.0
2022-03-31,77.63,86.962,77.554,84.841,2031999.0
2022-04-30,84.894,87.35,83.334,83.812,2864903.0
2022-05-31,83.912,84.638,79.458,84.384,3253170.0
2022-06-30,84.392,86.818,82.974,83.932,3131760.0
2022-07-31,83.798,86.597,83.022,83.348,2128362.0
2022-08-31,83.347,86.254,82.134,85.24,2123982.0
2022-09-30,85.21,87.872,80.582,81.03,2617813.0
2022-10-31,81.08,86.936,80.696,86.584,2957325.0
2022-11-30,86.61,87.46,83.851,86.238,3480988.0
2022-12-31,86.088,88.17,82.554,83.262,2675340.0
2023-01-31,83.061,84.934,81.04,83.875,3321912.0
2023-02-28,83.856,85.246,82.319,85.228,2346638.0
2023-03-31,85.068,85.232,80.435,83.086,2959659.0
2023-04-30,83.442,84.854,81.557,84.784,1639409.0
2023-05-31,84.816,87.312,83.434,84.271,1570848.0
2023-06-30,84.262,88.98,84.096,88.605,1311755.0
2023-07-31,88.55,89.701,84.943,88.134,2724220.0
2023-08-31,88.152,88.222,85.792,86.965,2360330.0
2023-09-30,86.886,90.202,86.297,89.585,1842393.0
2023-10-31,89.713,89.932,86.786,88.236,2406047.0
2023-11-30,88.312,91.52,88.215,91.169,1706581.0
2023-12-31,90.907,91.082,87.706,89.132,1767182.0
2024-01-31,89.132,90.988,88.636,89.929,2187123.0
2024-02-29,89.942,93.454,89.768,91.687,1505532.0
2024-03-31,91.706,92.204,90.11,90.276,1326125.0
2024-04-30,90.278,95.412,89.96,91.584,1650374.0
2024-05-31,91.608,96.743,91.179,96.62,1528757.0
2024-06-30,96.63,98.4,95.27,98.08,1388146.0
2024-07-31,98.076,99.022,88.546,88.844,2104204.0
2024-08-31,88.823,91.421,83.058,91.36,2343025.0
2024-09-30,91.263,92.294,86.273,90.164,2104150.0
2024-10-31,90.162,92.048,90.071,91.222,2453030.0
2024-11-30,91.439,92.468,88.468,88.7,2995668.0
2024-12-31,88.437,89.44,86.726,87.932,2011854.0
2025-01-31,87.931,89.704,86.654,87.482,2175439.0
2025-02-28,86.402,87.471,83.662,84.312,2239997.0
2025-03-31,84.424,87.373,83.149,85.282,2866405.0
2025-04-30,85.285,86.759,79.812,85.874,3758742.0
2025-05-31,85.876,87.73,84.61,85.922,2634512.0
2025-06-30,85.881,87.996,85.544,87.416,2754506.0
2025-07-31,87.423,89.066,87.028,87.21,1330745.0
2025-08-31,87.049,88.356,85.556,86.874,705044.0
2025-09-30,86.893,88.128,85.379,85.521,1200472.0
2025-10-31,85.474,88.829,85.35,88.172,1206017.0
2025-11-30,88.11,89.659,85.886,89.072,1200010.0
2025-12-31,89.008,90.897,88.996,89.754,504593.0
