time,Open,High,Low,Close,Volume
2003-03-31,882.7,883.2,843.3,858.8,5616.0
2003-04-30,864.0,924.6,862.9,905.8,15835.0
2003-05-31,918.1,965.9,911.8,965.4,14798.0
2003-06-30,968.6,1016.8,961.7,983.3,187872.0
2003-07-31,983.0,1016.1,974.6,980.4,243524.0
2003-08-31,980.1,1012.8,959.1,1007.4,185370.0
2003-09-30,1012.3,1041.8,989.4,1017.4,177033.0
2003-10-31,1017.2,1057.0,1013.2,1048.8,213836.0
2003-11-30,1048.3,1070.9,1030.9,1069.2,178894.0
2003-12-31,1069.4,1113.9,1053.2,1111.4,108757.0
2004-01-31,1113.4,1156.7,1105.8,1132.3,177158.0
2004-02-29,1132.0,1159.9,1123.8,1156.8,170140.0
2004-03-31,1157.1,1164.2,1086.8,1134.7,177955.0
2004-04-30,1134.4,1155.3,1104.9,1106.2,192534.0
2004-05-31,1106.1,1128.6,1076.1,1121.2,225939.0
2004-06-30,1121.4,1147.2,1114.9,1127.6,135876.0
2004-07-31,1127.3,1130.3,1077.5,1104.5,182433.0
2004-08-31,1098.5,1110.0,1060.4,1106.7,190236.0
2004-09-30,1106.4,1133.7,1101.5,1133.5,122447.0
2004-10-31,1132.0,1144.0,1088.1,1130.4,187067.0
2004-11-30,1130.1,1192.3,1127.4,1189.5,183592.0
2004-12-31,1189.8,1216.5,1173.5,1208.0,116003.0
2005-01-31,1210.4,1218.1,1162.1,1189.9,197885.0
2005-02-28,1189.7,1214.0,1182.6,1207.3,154347.0
2005-03-31,1207.1,1229.3,1162.9,1174.0,158465.0
2005-04-30,1173.6,1192.3,1133.2,1156.4,210896.0
2005-05-31,1155.8,1206.2,1145.3,1201.2,196737.0
2005-06-30,1201.0,1221.2,1189.0,1196.7,129711.0
2005-07-31,1196.5,1246.5,1167.8,1235.7,159364.0
2005-08-31,1236.0,1246.5,1193.2,1220.8,189671.0
2005-09-30,1220.6,1244.3,1206.0,1231.1,129813.0
2005-10-31,1231.0,1234.7,1168.3,1203.2,251013.0
2005-11-30,1203.0,1271.9,1200.0,1264.4,167540.0
2005-12-31,1264.1,1277.0,1245.7,1247.2,103860.0
2006-01-31,1249.9,1296.1,1246.2,1283.2,184630.0
2006-02-28,1283.0,1298.4,1253.0,1290.3,157915.0
2006-03-31,1290.1,1311.7,1268.1,1299.2,140461.0
2006-04-30,1298.9,1318.3,1279.9,1304.4,173893.0
2006-05-31,1304.1,1326.5,1244.3,1284.1,226788.0
2006-06-30,1283.9,1292.4,1218.5,1272.9,179851.0
2006-07-31,1272.4,1281.2,1223.9,1270.9,217367.0
2006-08-31,1270.7,1312.2,1258.0,1310.5,191922.0
2006-09-30,1310.0,1342.4,1291.0,1337.4,120540.0
2006-10-31,1337.9,1392.1,1328.4,1368.1,188963.0
2006-11-30,1367.8,1408.7,1361.0,1398.5,184343.0
2006-12-31,1398.0,1432.8,1396.5,1418.5,103634.0
2007-01-31,1423.7,1445.9,1403.6,1445.5,196063.0
2007-02-28,1445.2,1461.7,1379.1,1402.8,178951.0
2007-03-31,1403.1,1441.5,1363.5,1423.2,201668.0
2007-04-30,1423.4,1499.6,1417.5,1487.0,192356.0
2007-05-31,1487.3,1541.3,1487.0,1538.1,213048.0
2007-06-30,1537.8,1541.2,1479.7,1505.4,194849.0
2007-07-31,1503.7,1556.2,1435.2,1465.3,317101.0
2007-08-31,1465.6,1503.9,1369.8,1471.1,438227.0
2007-09-30,1473.1,1551.8,1439.5,1546.6,227508.0
2007-10-31,1546.8,1578.5,1485.9,1508.3,330300.0
2007-11-30,1508.0,1521.0,1403.7,1484.0,406285.0
2007-12-31,1481.7,1525.7,1435.2,1465.7,227823.0
2008-01-31,1469.6,1473.9,1249.8,1391.3,525164.0
2008-02-29,1392.1,1395.1,1308.5,1332.9,377042.0
2008-03-31,1327.4,1370.9,1252.6,1368.9,381509.0
2008-04-30,1369.2,1411.2,1323.7,1410.2,358262.0
2008-05-31,1410.5,1440.1,1370.0,1400.1,302209.0
2008-06-30,1400.6,1410.0,1260.4,1286.1,320915.0
2008-07-31,1285.9,1294.1,1200.3,1259.4,429350.0
2008-08-31,1260.6,1313.2,1245.9,1282.9,307932.0
2008-09-30,1284.1,1303.4,1108.1,1163.8,469854.0
2008-10-31,1163.5,1170.0,823.1,963.5,782540.0
2008-11-30,964.0,1006.6,738.1,814.9,596208.0
2008-12-31,815.1,919.2,812.6,896.1,392609.0
2009-01-31,904.3,946.5,800.4,828.5,466643.0
2009-02-28,826.1,875.1,731.5,733.9,445557.0
2009-03-31,732.1,834.2,666.3,812.1,464247.0
2009-04-30,812.3,889.3,805.3,878.7,453475.0
2009-05-31,878.1,948.1,876.7,939.4,406382.0
2009-06-30,939.6,958.2,888.8,923.8,315380.0
2009-07-31,923.6,997.0,869.0,984.6,360922.0
2009-08-31,985.5,1040.0,977.3,997.7,372546.0
2009-09-30,997.5,1081.2,991.9,1032.2,284093.0
