time,Open,High,Low,Close,Volume
2023-01-01 23:00:00+00:00,1.35574,1.35579,1.35316,1.35342,26
2023-01-02 00:00:00+00:00,1.35329,1.35343,1.35244,1.35256,245
2023-01-02 01:00:00+00:00,1.35258,1.35332,1.3525,1.35281,136
2023-01-02 02:00:00+00:00,1.35282,1.35641,1.35258,1.35597,139
2023-01-02 03:00:00+00:00,1.35593,1.35644,1.35479,1.35483,59
2023-01-02 04:00:00+00:00,1.35479,1.35574,1.35479,1.35533,23
2023-01-02 05:00:00+00:00,1.35528,1.35559,1.35461,1.35483,32
2023-01-02 06:00:00+00:00,1.35487,1.35546,1.35412,1.35546,4984
2023-01-02 07:00:00+00:00,1.35536,1.35632,1.35415,1.35415,205
2023-01-02 08:00:00+00:00,1.35516,1.35591,1.3543,1.35491,560
2023-01-02 09:00:00+00:00,1.35495,1.35672,1.35415,1.35626,9600
2023-01-02 10:00:00+00:00,1.35626,1.3566,1.35597,1.35644,16951
2023-01-02 11:00:00+00:00,1.3563,1.35754,1.35606,1.35719,8122
2023-01-02 12:00:00+00:00,1.35718,1.35784,1.35658,1.35767,6637
2023-01-02 13:00:00+00:00,1.35766,1.35801,1.35736,1.35764,762
2023-01-02 14:00:00+00:00,1.35762,1.35798,1.35685,1.35754,2429
2023-01-02 15:00:00+00:00,1.35754,1.35774,1.35673,1.35678,3674
2023-01-02 16:00:00+00:00,1.35676,1.3575,1.35668,1.35732,2978
2023-01-02 17:00:00+00:00,1.35732,1.35782,1.35697,1.3574,250
2023-01-02 18:00:00+00:00,1.35686,1.35843,1.35686,1.35738,148
2023-01-02 19:00:00+00:00,1.35743,1.35754,1.35737,1.35739,23
2023-01-02 20:00:00+00:00,1.35735,1.35775,1.35723,1.35723,26
2023-01-02 21:00:00+00:00,1.35714,1.35849,1.35711,1.35752,26
2023-01-02 22:00:00+00:00,1.35752,1.35752,1.35703,1.35717,19
2023-01-02 23:00:00+00:00,1.35717,1.35727,1.3555,1.35634,3488
2023-01-03 00:00:00+00:00,1.35638,1.35749,1.35574,1.35744,2936
2023-01-03 01:00:00+00:00,1.35746,1.3619,1.35746,1.36104,7506
2023-01-03 02:00:00+00:00,1.361,1.3619,1.35754,1.35758,5357
2023-01-03 03:00:00+00:00,1.35757,1.35757,1.35412,1.35427,4659
2023-01-03 04:00:00+00:00,1.35428,1.35542,1.35416,1.3554,2278
2023-01-03 05:00:00+00:00,1.35534,1.35712,1.35504,1.35621,3589
2023-01-03 06:00:00+00:00,1.35621,1.35631,1.3552,1.3552,3413
2023-01-03 07:00:00+00:00,1.35518,1.35526,1.35232,1.35366,5429
2023-01-03 08:00:00+00:00,1.35362,1.36149,1.35322,1.36138,11865
2023-01-03 09:00:00+00:00,1.36135,1.3638,1.36044,1.3614,8475
2023-01-03 10:00:00+00:00,1.36136,1.36354,1.36136,1.36308,5299
2023-01-03 11:00:00+00:00,1.36306,1.36415,1.36221,1.36288,4772
2023-01-03 12:00:00+00:00,1.36287,1.36672,1.36264,1.36611,5140
2023-01-03 13:00:00+00:00,1.36608,1.36786,1.36576,1.36682,8394
2023-01-03 14:00:00+00:00,1.3668,1.36801,1.3604,1.36151,11351
2023-01-03 15:00:00+00:00,1.36147,1.36382,1.36022,1.3637,12833
2023-01-03 16:00:00+00:00,1.36368,1.36767,1.3627,1.3664,10760
2023-01-03 17:00:00+00:00,1.3664,1.36744,1.36477,1.3667,8049
2023-01-03 18:00:00+00:00,1.3667,1.36792,1.36561,1.3657,6994
2023-01-03 19:00:00+00:00,1.3657,1.36854,1.36564,1.36638,7840
2023-01-03 20:00:00+00:00,1.36637,1.36758,1.36576,1.36696,7203
2023-01-03 21:00:00+00:00,1.36696,1.36773,1.3667,1.36686,2800
2023-01-03 22:00:00+00:00,1.36714,1.36734,1.36634,1.36648,556
2023-01-03 23:00:00+00:00,1.36648,1.36804,1.36635,1.36731,2223
2023-01-04 00:00:00+00:00,1.36731,1.36742,1.36548,1.36577,3510
