time,Open,High,Low,Close,Volume
2006-03-31,10.365,11.928,10.15,11.518,29370.0
2006-04-30,11.518,14.75,11.518,13.83,68403.0
2006-05-31,13.82,15.24,11.59,12.045,88854.0
2006-06-30,12.04,12.43,9.455,11.1,52539.0
2006-07-31,11.115,11.82,10.46,11.76,34136.0
2006-08-31,11.75,13.135,11.71,12.92,66483.0
2006-09-30,12.93,13.275,10.29,11.438,113293.0
2006-10-31,11.445,12.54,10.57,12.465,144788.0
2006-11-30,12.465,14.07,12.315,14.018,149086.0
2006-12-31,14.055,14.185,12.293,12.91,133765.0
2007-01-31,12.923,13.795,12.048,13.65,158380.0
2007-02-28,13.653,14.728,13.233,13.633,155262.0
2007-03-31,13.633,13.738,12.41,13.383,182599.0
2007-04-30,13.415,14.12,13.013,13.258,175596.0
2007-05-31,13.26,13.7,12.708,13.685,184156.0
2007-06-30,13.695,13.82,12.143,12.423,161546.0
2007-07-31,12.408,13.51,12.355,12.995,148397.0
2007-08-31,12.995,13.2,11.081,12.078,162998.0
2007-09-30,12.078,13.87,12.013,13.72,145884.0
2007-10-31,13.72,14.585,13.085,14.1,198854.0
2007-11-30,14.1,16.225,13.805,13.985,243054.0
2007-12-31,13.96,14.914,13.61,14.8,167115.0
2008-01-31,14.8,17.298,14.8,16.785,255315.0
2008-02-29,16.8,19.95,16.205,19.815,238397.0
2008-03-31,19.85,21.355,16.288,16.833,374724.0
2008-04-30,16.843,18.76,16.0,16.212,322849.0
2008-05-31,16.212,18.343,16.072,16.877,512405.0
2008-06-30,16.882,18.203,16.248,18.114,600414.0
2008-07-31,18.12,19.478,16.835,17.486,1093978.0
2008-08-31,17.483,17.628,12.125,13.4455,865922.0
2008-09-30,13.4455,13.793,10.228,12.555,1081394.0
2008-10-31,12.555,12.58,8.458,9.85,962995.0
2008-11-30,9.85,10.798,8.81,9.273,954894.0
2008-12-31,9.273,11.604,9.15,11.385,882448.0
2009-01-31,11.385,12.683,10.3505,12.678,935233.0
2009-02-28,12.623,14.64,12.1855,13.145,684557.0
2009-03-31,13.145,13.9075,11.923,13.063,928538.0
2009-04-30,13.063,13.228,11.82,12.523,845270.0
2009-05-31,12.475,15.973,12.463,15.603,704246.0
2009-06-30,15.603,16.241,13.483,13.763,239056.0
2009-07-31,13.766,14.1095,12.4625,13.933,81044.0
2009-08-31,13.933,15.1945,13.512,15.027,113854.0
2009-09-30,15.035,17.66,14.854,16.362,167428.0
2009-10-31,16.365,18.1005,15.9135,16.316,156038.0
2009-11-30,16.269,19.2645,16.25,19.106,151070.0
2009-12-31,19.103,19.4675,16.7425,16.874,157113.0
2010-01-31,16.904,18.891,16.013,16.667,160587.0
2010-02-28,16.669,16.9365,14.6535,16.462,155591.0
2010-03-31,16.468,17.996,16.328,17.934,122100.0
2010-04-30,17.942,18.76,17.491,18.652,83946.0
