time,Open,High,Low,Close,Volume
2006-03-31,554.05,589.55,544.35,583.65,40763.0
2006-04-30,583.65,661.8,582.25,655.15,106706.0
2006-05-31,655.25,730.45,621.0,629.3,114129.0
2006-06-30,629.5,645.85,542.25,615.85,97554.0
2006-07-31,615.8,677.15,602.35,647.2,80655.0
2006-08-31,647.4,656.3,607.15,626.15,140459.0
2006-09-30,626.15,640.45,570.9,598.25,158861.0
2006-10-31,598.45,619.8,559.7,617.5,304176.0
2006-11-30,618.0,650.15,613.55,645.55,296270.0
2006-12-31,645.55,649.1,611.85,636.65,212410.0
2007-01-31,636.55,661.4,602.35,657.3,212805.0
2007-02-28,657.4,688.8,643.45,664.4,243549.0
2007-03-31,664.45,669.45,632.8,663.85,281160.0
2007-04-30,665.55,693.95,656.6,673.55,263866.0
2007-05-31,673.55,690.95,652.0,671.55,264460.0
2007-06-30,671.65,674.1,639.23,649.6,237035.0
2007-07-31,650.65,687.76,645.35,666.98,243009.0
2007-08-31,666.93,676.92,642.12,673.24,257048.0
2007-09-30,672.99,748.05,671.59,747.3,263318.0
2007-10-31,747.3,799.4,720.92,787.3,420892.0
2007-11-30,787.4,845.955,772.8,782.25,464920.0
2007-12-31,782.9,843.11,777.0,833.8,350972.0
2008-01-31,833.9,937.08,833.9,905.25,483638.0
2008-02-29,907.25,976.15,884.4,973.45,436471.0
2008-03-31,973.85,1032.85,872.255,882.5,585806.0
2008-04-30,882.45,953.19,847.55,852.75,560063.0
2008-05-31,852.75,935.5,845.4,886.52,891129.0
2008-06-30,887.22,946.145,857.7,939.63,1138407.0
2008-07-31,939.65,988.58,894.105,910.89,1208651.0
2008-08-31,910.95,915.675,772.95,817.705,900923.0
2008-09-30,817.705,926.65,736.35,871.25,1166624.0
2008-10-31,871.25,931.95,681.65,724.6,1048146.0
2008-11-30,724.6,831.6,700.43,769.08,1109398.0
2008-12-31,769.08,890.85,741.4,880.88,1031945.0
2009-01-31,880.88,929.755,801.825,927.8,1087224.0
2009-02-28,926.75,1006.45,889.63,940.6,701566.0
2009-03-31,940.6,967.2,883.405,926.9,965265.0
2009-04-30,926.95,929.605,864.98,886.55,789417.0
2009-05-31,885.5,988.935,885.35,975.05,658881.0
2009-06-30,975.05,990.305,913.21,940.69,538912.0
2009-07-31,940.63,959.14,905.165,954.05,405819.0
2009-08-31,954.75,971.865,930.45,956.24,450051.0
2009-09-30,956.27,1024.28,951.7,999.28,534008.0
2009-10-31,999.32,1070.79,986.9,1045.55,433943.0
2009-11-30,1044.75,1201.62,1041.98,1196.6,557930.0
2009-12-31,1196.65,1226.525,1074.735,1097.38,676811.0
2010-01-31,1097.88,1162.08,1074.21,1105.51,638427.0
2010-02-28,1105.65,1131.26,1044.475,1118.91,719077.0
2010-03-31,1118.85,1145.185,1085.315,1126.84,637736.0
2010-04-30,1126.8,1181.785,1106.43,1179.1,483316.0
2010-05-31,1179.1,1249.495,1156.595,1225.64,884661.0
2010-06-30,1225.54,1265.265,1196.595,1198.87,713953.0
2010-07-31,1198.97,1218.22,1156.83,1181.75,559038.0
2010-08-31,1181.85,1254.78,1174.61,1244.32,533394.0
2010-09-30,1244.35,1320.695,1236.76,1318.91,589505.0
2010-10-31,1318.68,1387.285,1312.44,1353.86,1023629.0
2010-11-30,1353.98,1424.52,1325.56,1387.82,1336886.0
2010-12-31,1387.76,1431.375,1361.21,1421.46,917965.0
2011-01-31,1421.08,1424.055,1308.41,1341.4,956680.0
2011-02-28,1341.36,1435.135,1325.0,1433.56,641150.0
2011-03-31,1433.45,1447.85,1381.025,1429.03,927068.0
2011-04-30,1429.03,1569.465,1428.062,1563.75,935502.0
2011-05-31,1563.75,1576.557,1462.71,1539.862,1616429.0
2011-06-30,1539.84,1558.239,1478.257,1487.75,1044966.0
2011-07-31,1487.75,1632.826,1486.295,1619.514,990320.0
2011-08-31,1619.541,1912.277,1616.634,1826.184,2870546.0
2011-09-30,1826.22,1921.07,1533.207,1623.813,2594950.0
2011-10-31,1623.813,1752.728,1596.009,1719.844,1990033.0
2011-11-30,1719.886,1803.023,1666.688,1744.784,1379182.0
2011-12-31,1744.695,1763.305,1522.774,1564.962,917500.0
2012-01-31,1564.962,1751.126,1564.962,1744.36,848407.0
2012-02-29,1744.27,1790.792,1688.483,1718.143,864711.0
2012-03-31,1718.223,1724.39,1628.18,1668.854,845685.0
2012-04-30,1668.854,1683.584,1612.431,1662.404,628657.0
2012-05-31,1662.331,1663.241,1527.117,1624.251,994645.0
2012-06-30,1624.251,1640.938,1548.111,1597.559,878134.0
2012-07-31,1599.084,1629.692,1555.119,1599.752,676337.0
2012-08-31,1599.818,1693.106,1584.153,1691.885,506082.0
2012-09-30,1692.0,1791.744,1685.548,1774.923,642844.0
2012-10-31,1774.966,1796.001,1698.736,1714.28,566937.0
2012-11-30,1714.33,1754.49,1672.738,1714.878,526032.0
2012-12-31,1714.878,1723.453,1635.807,1676.244,1274212.0
2013-01-31,1673.524,1697.292,1626.022,1667.458,2148903.0
2013-02-28,1667.458,1685.484,1555.123,1576.35,2254147.0
2013-03-31,1576.35,1616.958,1561.552,1599.544,2565180.0
2013-04-30,1599.542,1604.017,1321.936,1457.594,5399864.0
2013-05-31,1457.58,1488.081,1338.287,1387.96,4870086.0
2013-06-30,1389.566,1423.726,1180.512,1252.588,5756711.0
2013-07-31,1252.575,1346.881,1208.306,1310.172,5178794.0
2013-08-31,1310.184,1433.773,1272.964,1395.288,5235242.0
2013-09-30,1393.167,1416.442,1282.538,1287.642,4843679.0
2013-10-31,1287.616,1361.936,1251.691,1316.207,5292446.0
2013-11-30,1314.435,1326.51,1225.693,1251.215,3047385.0
2013-12-31,1251.31,1267.964,1182.445,1205.094,3487817.0
2014-01-31,1205.186,1279.29,1203.666,1244.476,3282743.0
2014-02-28,1243.496,1345.49,1240.886,1326.561,2804672.0
2014-03-31,1330.746,1392.324,1277.834,1278.946,3168555.0
2014-04-30,1278.954,1331.26,1268.602,1284.314,2228189.0
2014-05-31,1284.19,1315.713,1242.323,1249.669,3745835.0
2014-06-30,1250.158,1332.541,1240.799,1326.147,2005241.0
2014-07-31,1327.067,1345.146,1279.996,1293.672,2311122.0
2014-08-31,1293.672,1322.714,1267.61,1287.008,1281336.0
2014-09-30,1286.656,1287.612,1204.442,1213.587,1838098.0
2014-10-31,1212.589,1255.404,1161.452,1173.157,2473467.0
2014-11-30,1171.505,1221.44,1131.492,1211.994,2731339.0
2014-12-31,1210.981,1238.427,1170.78,1182.789,2059959.0
2015-01-31,1184.161,1307.788,1167.622,1283.956,2798408.0
2015-02-28,1282.968,1286.208,1190.391,1213.27,1747147.0
2015-03-31,1213.964,1223.372,1142.732,1204.034,1865059.0
2015-04-30,1203.498,1224.362,1169.889,1178.354,1556413.0
2015-05-31,1178.448,1232.534,1177.84,1189.303,1375253.0
2015-06-30,1188.906,1205.986,1162.796,1168.836,1176714.0
2015-07-31,1169.208,1175.668,1071.806,1095.484,1588825.0
2015-08-31,1096.001,1170.284,1081.11,1140.326,1745129.0
2015-09-30,1139.928,1156.832,1098.819,1113.625,1103277.0
2015-10-31,1113.625,1191.874,1104.642,1142.302,1176862.0
2015-11-30,1141.846,1143.138,1052.837,1069.649,1098404.0
2015-12-31,1068.835,1088.976,1046.434,1060.588,1614753.0
2016-01-31,1062.7,1129.904,1061.891,1128.358,1589890.0
