trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
1,EUR_JPY,bearish,2023-01-01 22:00:00+00:00,2023-02-14 22:00:00+00:00,140.03824999999998,142.65753537998577,143.06716116664973,138.22090330001012,-0.86,-605.33,0,14,0
2,GBP_NZD,bearish,2023-01-01 22:00:00+00:00,2023-01-18 22:00:00+00:00,1.91768,1.9366872670606217,1.9394148417388353,1.904639094956699,-0.87,-612.15,0,15,0
3,NZD_CAD,bearish,2023-01-01 22:00:00+00:00,2023-01-03 22:00:00+00:00,0.86688276,0.8535516967683059,0.8801667819166925,0.8589123468499844,1.0,702.48,1,14,0
4,NZD_CAD,bearish,2023-01-01 22:00:00+00:00,2023-01-03 22:00:00+00:00,0.865286,0.8502265417991411,0.8802005832083574,0.8563372500749856,1.01,706.8,1,14,0
5,USD_CHF,bullish,2023-01-02 22:00:00+00:00,2023-01-08 22:00:00+00:00,0.93620296,0.9165331759199153,0.9172831759199154,0.9475548304480508,-1.04,-727.75,0,15,0
6,GBP_CHF,bearish,2023-01-02 22:00:00+00:00,2023-01-19 22:00:00+00:00,1.1258235,1.1373706630099676,1.1386772654880566,1.1181112407071663,-0.9,-628.84,0,15,0
7,USD_CAD,bullish,2023-01-02 22:00:00+00:00,2023-01-03 22:00:00+00:00,1.36319808,1.3518831749415958,1.3526331749415959,1.3695370230350425,-1.07,-749.69,0,15,0
8,CAD_JPY,bearish,2023-01-02 22:00:00+00:00,2023-01-03 22:00:00+00:00,96.751292,98.16957892678688,98.09457892678688,95.94531984392788,-1.06,-739.08,0,15,0
9,EUR_JPY,bearish,2023-01-02 22:00:00+00:00,2023-01-09 22:00:00+00:00,139.59322,141.6242209099868,141.92179251188904,138.19607649286658,-0.87,-610.55,0,14,0
10,CHF_JPY,bearish,2023-01-02 22:00:00+00:00,2023-01-12 22:00:00+00:00,141.782886,139.5686679749782,143.94252564624693,140.4871022122518,1.03,717.69,1,15,0
11,EUR_USD,bearish,2023-01-02 22:00:00+00:00,2023-01-11 22:00:00+00:00,1.0540043000000001,1.0789675288660256,1.0782175288660256,1.039476362680385,-1.03,-721.68,0,15,0
12,EUR_USD,bullish,2023-01-02 22:00:00+00:00,2023-01-12 22:00:00+00:00,1.05663868,1.0808302168370596,1.044789968913511,1.0637479066518936,2.04,1429.19,1,15,0
13,USD_CAD,bullish,2023-01-03 22:00:00+00:00,2023-01-04 22:00:00+00:00,1.36044,1.3518420910171962,1.3525920910171962,1.3651487453896824,-1.1,-766.9,0,15,0
14,EUR_AUD,bullish,2023-01-03 22:00:00+00:00,2023-01-08 22:00:00+00:00,1.56553982,1.544482832906022,1.545232832906022,1.5777240122563867,-1.04,-725.85,0,15,0
15,USD_JPY,bearish,2023-01-03 22:00:00+00:00,2023-01-15 22:00:00+00:00,131.763984,128.17409530632145,135.22142616384767,129.68951870169138,1.04,726.82,1,15,0
16,CAD_JPY,bearish,2023-01-03 22:00:00+00:00,2023-01-08 22:00:00+00:00,96.909822,99.08711576730896,99.01211576730896,95.64844573961463,-1.04,-724.97,0,15,0
17,AUD_CHF,bearish,2023-01-03 22:00:00+00:00,2023-01-08 22:00:00+00:00,0.62974152,0.6405005002014096,0.6397505002014096,0.6237361318791543,-1.07,-752.45,0,15,0
18,CHF_JPY,bearish,2023-01-03 22:00:00+00:00,2023-01-15 22:00:00+00:00,142.271846,138.86641256074583,145.55527377288132,140.3017893362712,1.04,726.01,1,15,0
19,NZD_CAD,bullish,2023-01-03 22:00:00+00:00,2023-01-18 22:00:00+00:00,0.84836016,0.8697570039758333,0.8274669109661951,0.860896109420283,1.02,716.87,1,14,0
20,USD_CAD,bullish,2023-01-04 22:00:00+00:00,2023-01-05 22:00:00+00:00,1.35786192,1.3461547203490127,1.3469047203490128,1.3644362397905923,-1.07,-747.91,0,15,0
21,USD_CAD,bearish,2023-01-04 22:00:00+00:00,2023-01-09 22:00:00+00:00,1.3571,1.3408227342992738,1.3731634582082322,1.3474619250750606,1.01,709.32,1,14,0
22,USD_JPY,bullish,2023-01-04 22:00:00+00:00,2023-01-11 22:00:00+00:00,133.47302,129.01087570499863,129.0858757049986,136.10530657700082,-1.02,-711.97,0,15,0
23,AUD_CAD,bullish,2023-01-04 22:00:00+00:00,2023-01-12 22:00:00+00:00,0.9162,0.9279965207795944,0.9043636596418921,0.9233018042148647,1.0,697.65,1,14,0
24,AUD_USD,bullish,2023-01-04 22:00:00+00:00,2023-01-09 22:00:00+00:00,0.673967,0.6855454145280601,0.662336420256547,0.6809453478460717,1.0,696.86,1,15,0
25,AUD_USD,bullish,2023-01-04 22:00:00+00:00,2023-01-09 22:00:00+00:00,0.67511,0.6879413250987443,0.662297429152128,0.6827975425087232,1.0,701.02,1,14,0
26,XAG_USD,bearish,2023-01-05 00:00:00+00:00,2023-02-02 00:00:00+00:00,23.341060047149657,24.43894316935612,24.43144316935612,22.68683017382578,-1.01,-704.81,0,15,0
27,EUR_NZD,bearish,2023-01-05 22:00:00+00:00,2023-02-26 22:00:00+00:00,1.67724,1.7211711606740552,1.7204211606740551,1.651331303595567,-1.02,-712.16,0,15,0
28,USD_CAD,bullish,2023-01-05 22:00:00+00:00,2023-01-08 22:00:00+00:00,1.36319808,1.3434078233770723,1.3441578233770723,1.3746222339737568,-1.04,-727.57,0,15,0
29,USD_CAD,bearish,2023-01-05 22:00:00+00:00,2023-01-09 22:00:00+00:00,1.36303376,1.3450764884111226,1.3748364550087555,1.3559521429947468,1.52,1065.02,1,14,0
30,AUD_USD,bullish,2023-01-05 22:00:00+00:00,2023-01-09 22:00:00+00:00,0.6731889,0.6879810858295606,0.6633831045239365,0.6790723772856381,1.51,1055.96,1,15,0
31,SPX500_USD,bullish,2023-01-06 00:00:00+00:00,2023-01-13 00:00:00+00:00,3874.5575,3998.587055199018,3756.8409384914926,3945.1874369051043,1.05,737.54,1,15,0
32,EUR_NZD,bearish,2023-01-08 22:00:00+00:00,2023-02-16 22:00:00+00:00,1.66802728,1.715711242566224,1.714961242566224,1.6398669024602657,-1.02,-711.19,0,15,0
33,AUD_JPY,bearish,2023-01-08 22:00:00+00:00,2023-03-13 21:00:00+00:00,91.07997800000001,88.4979861606021,93.58657407490371,89.57602035505779,1.03,721.06,1,15,0
34,SPX500_USD,bullish,2023-01-09 00:00:00+00:00,2023-05-22 00:00:00+00:00,3968.793,4192.330366643517,3757.201144675928,4095.7481131944432,1.06,739.52,1,15,0
35,EUR_CAD,bullish,2023-01-09 22:00:00+00:00,2023-01-15 22:00:00+00:00,1.44192,1.450210925006386,1.4333908254656738,1.447037504720596,0.97,680.45,1,15,0
36,EUR_CAD,bullish,2023-01-09 22:00:00+00:00,2023-03-13 21:00:00+00:00,1.44135,1.4639624409244598,1.4193099613920188,1.4545740231647886,1.03,718.18,1,15,0
37,USD_CHF,bearish,2023-01-09 22:00:00+00:00,2023-04-16 21:00:00+00:00,0.92294,0.9006372991787699,0.9446878309634246,0.9098913014219452,1.03,717.86,1,15,0
38,EUR_CAD,bullish,2023-01-10 22:00:00+00:00,2023-01-19 22:00:00+00:00,1.4430606400000001,1.4560449369761725,1.4301037560602148,1.4508347703638713,1.0,701.48,1,15,0
39,USD_CHF,bearish,2023-01-10 22:00:00+00:00,2023-04-05 21:00:00+00:00,0.92540284,0.9056083710660006,0.9447844144660371,0.9137738953203777,1.02,714.91,1,15,0
40,EUR_CHF,bullish,2023-01-10 22:00:00+00:00,2023-01-15 22:00:00+00:00,0.99104028,1.0004689206682196,0.9814377888035665,0.9968017747178601,0.98,687.33,1,15,0
41,NZD_CHF,bullish,2023-01-10 22:00:00+00:00,2023-01-23 22:00:00+00:00,0.58781532,0.5957345527644818,0.5796367985240738,0.5927224328855558,0.97,677.81,1,15,0
42,CHF_JPY,bearish,2023-01-10 22:00:00+00:00,2023-01-15 22:00:00+00:00,142.274,138.6075710366835,144.634523005247,140.8576861968518,1.55,1087.26,1,15,0
43,USD_CHF,bearish,2023-01-11 22:00:00+00:00,2023-01-17 22:00:00+00:00,0.933511,0.9212789319714211,0.9457582339892253,0.9261626596064648,1.0,699.13,1,15,0
44,CAD_CHF,bearish,2023-01-11 22:00:00+00:00,2023-01-19 22:00:00+00:00,0.69714044,0.6868210560713497,0.7075832550270286,0.6908747509837828,0.99,691.73,1,15,0
45,USD_JPY,bearish,2023-01-11 22:00:00+00:00,2023-01-15 22:00:00+00:00,132.094,129.34473565723914,133.4356932744707,131.28898403531755,2.05,1434.37,1,15,0
46,GBP_JPY,bullish,2023-01-11 22:00:00+00:00,2023-01-12 22:00:00+00:00,158.262788,155.64949745993073,155.72449745993072,159.78576232404157,-1.03,-720.68,0,16,0
47,NZD_CHF,bullish,2023-01-11 22:00:00+00:00,2023-02-14 22:00:00+00:00,0.59413382,0.578314895770485,0.579064895770485,0.6031751745377091,-1.05,-734.84,0,15,0
48,NZD_JPY,bullish,2023-01-11 22:00:00+00:00,2023-01-12 22:00:00+00:00,82.68433399999999,81.17026281191009,81.2452628119101,83.54777671285393,-1.05,-736.48,0,15,0
49,CAD_JPY,bullish,2023-01-11 22:00:00+00:00,2023-01-18 22:00:00+00:00,97.621128,94.66643483242278,94.74143483242278,99.34894390054633,-1.03,-718.23,0,15,0
50,EUR_JPY,bullish,2023-01-11 22:00:00+00:00,2023-02-21 22:00:00+00:00,140.312,143.3941919521308,137.33351702629173,142.099089784225,1.03,724.37,1,15,0
51,NAS100_USD,bearish,2023-01-12 00:00:00+00:00,2023-02-01 00:00:00+00:00,11499.3635,12344.252116659076,12343.502116659076,10992.880330004553,-1.0,-700.62,0,16,0
52,AUD_JPY,bullish,2023-01-12 22:00:00+00:00,2023-01-18 22:00:00+00:00,89.284044,91.12364550927471,87.47781616106158,90.36778070336304,1.02,712.93,1,15,0
53,GBP_JPY,bullish,2023-01-12 22:00:00+00:00,2023-01-18 22:00:00+00:00,157.924,160.13899347498693,155.76362879718215,159.22022272169073,1.03,717.7,1,16,0
54,NZD_JPY,bullish,2023-01-12 22:00:00+00:00,2023-01-18 22:00:00+00:00,82.673,84.08078667943424,81.27414464204317,83.5123132147741,1.01,704.47,1,15,0
55,EUR_JPY,bearish,2023-01-12 22:00:00+00:00,2023-01-22 22:00:00+00:00,139.59322,141.73419500059802,142.05271404833098,138.1175235710014,-0.87,-609.35,0,14,0
56,XAG_USD,bearish,2023-01-13 00:00:00+00:00,2023-01-24 00:00:00+00:00,24.04409620285034,23.269541806992486,24.781883368753977,23.60142390330816,1.05,734.88,1,15,0
57,EUR_CAD,bullish,2023-01-16 22:00:00+00:00,2023-03-12 21:00:00+00:00,1.44422,1.4697799951441415,1.4193992498640176,1.4591124500815895,1.03,720.85,1,15,0
58,EUR_CHF,bullish,2023-01-16 22:00:00+00:00,2023-01-24 22:00:00+00:00,0.99385966,1.004452428241475,0.9831589352438915,1.0002800948536652,0.99,692.94,1,15,0
59,NZD_JPY,bullish,2023-01-16 22:00:00+00:00,2023-03-01 22:00:00+00:00,82.68433399999999,84.74057599438524,80.67372834491958,83.89069739304824,1.02,715.89,1,15,0
60,EUR_GBP,bullish,2023-01-16 22:00:00+00:00,2023-01-17 22:00:00+00:00,0.88129446,0.8731272127745314,0.8738772127745315,0.8857448083352811,-1.1,-770.78,0,15,0
61,USD_CHF,bearish,2023-01-17 22:00:00+00:00,2023-02-01 22:00:00+00:00,0.9235234,0.9115238262342652,0.9355512997789951,0.916306660132603,1.0,698.35,1,15,0
62,USD_CAD,bullish,2023-01-17 22:00:00+00:00,2023-01-31 22:00:00+00:00,1.34290774,1.3294473995902842,1.327776382369386,1.3519865545783685,-0.89,-622.7,0,15,0
63,USD_JPY,bearish,2023-01-17 22:00:00+00:00,2023-01-19 22:00:00+00:00,131.114594,128.50578625289282,133.64648810104453,129.5954575393733,1.03,721.26,1,15,0
64,USD_JPY,bearish,2023-01-17 22:00:00+00:00,2023-02-14 22:00:00+00:00,130.56260400000002,133.22920135881472,133.6478389509699,128.7114630294181,-0.86,-605.02,0,15,0
65,GBP_JPY,bearish,2023-01-17 22:00:00+00:00,2023-02-13 22:00:00+00:00,159.198398,161.64814331055834,162.0254757506647,157.50215134960118,-0.87,-606.57,0,16,0
66,GBP_JPY,bullish,2023-01-17 22:00:00+00:00,2023-02-22 22:00:00+00:00,158.262788,161.78632269743994,154.86794394581136,160.29969443251318,1.04,726.54,1,16,0
67,GBP_AUD,bullish,2023-01-17 22:00:00+00:00,2023-01-19 22:00:00+00:00,1.75931458,1.7795647380770039,1.7395031101160343,1.7712014619303795,1.02,715.5,1,15,0
68,GBP_AUD,bullish,2023-01-17 22:00:00+00:00,2023-01-24 22:00:00+00:00,1.77719592,1.737815657048037,1.738565657048037,1.8003740777711779,-1.02,-713.59,0,15,0
69,NZD_JPY,bearish,2023-01-17 22:00:00+00:00,2023-02-28 22:00:00+00:00,83.311466,84.78895230336505,84.98109255162507,82.30969006902495,-0.88,-619.44,0,15,0
70,AUD_NZD,bullish,2023-01-17 22:00:00+00:00,2023-01-29 22:00:00+00:00,1.0814348599999999,1.090589887852916,1.0720904941010223,1.0870414795393863,0.98,685.82,1,14,0
71,AUD_NZD,bullish,2023-01-17 22:00:00+00:00,2023-01-29 22:00:00+00:00,1.08252738,1.0927102878919936,1.0722133159509493,1.0887158184294303,0.99,691.1,1,14,0
72,CAD_JPY,bearish,2023-01-17 22:00:00+00:00,2023-01-19 22:00:00+00:00,97.331102,95.11237937661635,99.49499126734307,96.03276843959416,1.03,717.74,1,15,0
73,CAD_JPY,bullish,2023-01-17 22:00:00+00:00,2023-03-23 21:00:00+00:00,97.621128,94.9717152914724,94.55635096603858,99.45999422037686,-0.86,-605.13,0,15,0
74,AUD_CHF,bullish,2023-01-17 22:00:00+00:00,2023-01-23 22:00:00+00:00,0.63596176,0.6454210756503318,0.6263303301411965,0.6417406179152821,0.98,687.49,1,15,0
75,CHF_JPY,bearish,2023-01-17 22:00:00+00:00,2023-02-14 22:00:00+00:00,142.38813000000002,144.79558073011583,145.1648570596617,140.722093764203,-0.87,-606.91,0,15,0
76,CHF_JPY,bearish,2023-01-17 22:00:00+00:00,2023-02-14 22:00:00+00:00,141.262714,144.73489381574868,144.6598938157487,139.22440611055077,-1.02,-715.45,0,15,0
77,EUR_NZD,bearish,2023-01-18 22:00:00+00:00,2023-01-24 22:00:00+00:00,1.69298054,1.6733454568562085,1.7122117505130108,1.6814418136921936,1.02,714.7,1,15,0
78,AUD_JPY,bullish,2023-01-18 22:00:00+00:00,2023-01-25 22:00:00+00:00,89.193,91.80110952985511,87.5001864164952,90.20868815010287,1.54,1078.49,1,14,0
79,AUD_JPY,bullish,2023-01-18 22:00:00+00:00,2023-01-30 22:00:00+00:00,89.284044,91.08907322301623,87.51043152545637,90.34821148472616,1.02,712.4,1,14,0
80,EUR_AUD,bullish,2023-01-18 22:00:00+00:00,2023-01-22 22:00:00+00:00,1.57136138,1.5435108356488547,1.5442608356488547,1.587621706610687,-1.03,-719.37,0,15,0
81,EUR_AUD,bullish,2023-01-18 22:00:00+00:00,2023-01-24 22:00:00+00:00,1.56553982,1.5320450537756898,1.5327950537756898,1.585186679734586,-1.02,-716.03,0,15,0
82,NZD_USD,bullish,2023-01-18 22:00:00+00:00,2023-01-24 22:00:00+00:00,0.63816,0.6496945073301891,0.626570842141331,0.6451134947152013,1.0,696.7,1,15,0
83,NZD_USD,bullish,2023-01-18 22:00:00+00:00,2023-02-02 22:00:00+00:00,0.63838,0.6509430463555883,0.6258205223060487,0.6459156866163707,1.0,700.2,1,15,0
84,NZD_USD,bullish,2023-01-18 22:00:00+00:00,2023-02-05 22:00:00+00:00,0.63938,0.6282748878707025,0.6270524855603602,0.6467765086637838,-0.9,-630.59,0,15,0
85,GBP_JPY,bearish,2023-01-18 22:00:00+00:00,2023-02-13 22:00:00+00:00,159.198398,161.59487833283393,161.96206506289752,157.54019776226147,-0.87,-607.0,0,16,0
86,GBP_AUD,bearish,2023-01-18 22:00:00+00:00,2023-01-23 22:00:00+00:00,1.7889999399999998,1.764261753239418,1.8130453992080957,1.7745726644751423,1.03,720.17,1,15,0
87,GBP_NZD,bearish,2023-01-18 22:00:00+00:00,2023-01-19 22:00:00+00:00,1.91488,1.9302926192810954,1.9295426192810954,1.9060824284313427,-1.05,-735.81,0,15,0
88,NZD_CAD,bullish,2023-01-18 22:00:00+00:00,2023-02-05 22:00:00+00:00,0.86474334,0.846412378341458,0.847162378341458,0.8752919169951251,-1.04,-729.86,0,14,0
89,SPX500_USD,bullish,2023-01-19 00:00:00+00:00,2023-01-30 00:00:00+00:00,3906.165,4061.6691953740406,3758.755381722603,3994.610770966438,1.05,738.44,1,15,0
90,CAD_CHF,bearish,2023-01-19 22:00:00+00:00,2023-03-13 21:00:00+00:00,0.68771,0.6677335890033963,0.6975562760078878,0.6818022343952673,2.03,1420.18,1,15,0
91,USD_CAD,bullish,2023-01-19 22:00:00+00:00,2023-01-25 22:00:00+00:00,1.34290774,1.3300486407715726,1.3307986407715726,1.3501731995370565,-1.06,-743.36,0,15,0
92,USD_JPY,bearish,2023-01-19 22:00:00+00:00,2023-02-13 22:00:00+00:00,130.56260400000002,132.82332833311028,133.16465677751222,129.0013723334927,-0.87,-608.18,0,15,0
93,GBP_AUD,bearish,2023-01-19 22:00:00+00:00,2023-01-23 22:00:00+00:00,1.7889999399999998,1.7644805977508882,1.8128389421218032,1.7746965387269178,1.03,719.98,1,15,0
94,NZD_JPY,bearish,2023-01-19 22:00:00+00:00,2023-02-28 22:00:00+00:00,83.311466,84.75049942370342,84.93531531393263,82.33715641164041,-0.89,-620.33,0,15,0
95,GBP_NZD,bearish,2023-01-19 22:00:00+00:00,2023-01-24 22:00:00+00:00,1.91552,1.9015493370866614,1.929407417842772,1.9071875492943366,1.01,704.2,1,15,0
96,CAD_CHF,bearish,2023-01-22 22:00:00+00:00,2023-03-12 21:00:00+00:00,0.68861832,0.670727783295965,0.6974736818546484,0.6833051028872109,2.02,1414.21,1,15,0
97,EUR_AUD,bullish,2023-01-22 22:00:00+00:00,2023-01-25 22:00:00+00:00,1.54916428,1.5296516840303174,1.5304016840303174,1.5604218375818097,-1.04,-727.98,0,15,0
98,EUR_GBP,bullish,2023-01-22 22:00:00+00:00,2023-02-02 22:00:00+00:00,0.88129446,0.8914482617441724,0.8710078545809694,0.8874664232514183,0.99,690.96,1,15,0
99,CAD_JPY,bearish,2023-01-22 22:00:00+00:00,2023-02-12 22:00:00+00:00,97.331102,98.9141791281124,99.12643191441951,96.2539040513483,-0.88,-617.24,0,15,0
100,EUR_JPY,bearish,2023-01-22 22:00:00+00:00,2023-02-14 22:00:00+00:00,141.000698,143.0807445656848,143.3876581972438,139.5685218816537,-0.87,-609.99,0,15,0
101,GBP_AUD,bullish,2023-01-23 22:00:00+00:00,2023-01-24 22:00:00+00:00,1.76503312,1.738640030822032,1.739390030822032,1.7804189735067808,-1.03,-720.47,0,15,0
102,XAG_USD,bullish,2023-01-24 00:00:00+00:00,2023-02-03 00:00:00+00:00,23.629685985565185,24.350698257663886,22.942410257170184,24.042051422602185,1.05,734.36,1,15,0
103,XAG_USD,bullish,2023-01-24 00:00:00+00:00,2023-02-03 00:00:00+00:00,23.530000686645508,24.15211612712357,22.936023856005825,23.886386785029316,1.05,733.16,1,14,0
104,GBP_NZD,bearish,2023-01-24 22:00:00+00:00,2023-02-02 22:00:00+00:00,1.91264836,1.895287548894757,1.9297340308540025,1.9023969574875983,1.02,711.27,1,15,0
105,ETH_USD,bullish,2023-01-29 00:00:00+00:00,2023-02-13 00:00:00+00:00,1616.4921677246093,1508.0016065207346,1487.4260234342823,1693.9318542988055,-0.84,-588.41,0,15,0
106,BTC_USD,bullish,2023-01-29 00:00:00+00:00,2023-03-09 00:00:00+00:00,23096.53470703125,20731.00239963366,20289.353388700787,24780.843498029528,-0.84,-589.87,0,16,0
107,BTC_USD,bullish,2023-01-30 00:00:00+00:00,2023-03-09 00:00:00+00:00,23096.53470703125,20718.971516624115,20275.030908927518,24789.436985893488,-0.84,-589.86,0,16,0
