date,start_balance,daily_dd_base,min_equity_allowed,lowest_equity,max_daily_dd_pct,protective_close
2023-01-05,60000.0,60000.0,57000.0,60000.0,0.0,False
2023-01-06,60000.0,60000.0,57000.0,60000.0,0.0,False
2023-01-07,60000.0,60000.0,57000.0,60000.0,0.0,False
2023-01-08,60000.0,60000.0,57000.0,60000.0,0.0,False
2023-01-09,60000.0,60000.0,57000.0,60000.0,0.0,False
2023-01-10,60000.0,60000.0,57000.0,60000.0,0.0,False
2023-01-11,60000.0,60000.0,57000.0,60000.0,0.0,False
2023-01-12,60000.0,60000.0,57000.0,60000.0,0.0,False
2023-01-13,60000.0,60000.0,57000.0,60000.0,0.0,False
2023-01-14,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-15,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-16,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-17,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-18,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-19,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-20,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-21,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-22,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-23,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-24,60580.96,60580.96,57551.912,60580.96,0.0,False
2023-01-25,61160.44,61160.44,58102.418,61160.44,0.0,False
2023-01-26,61160.44,61160.44,58102.418,61160.44,0.0,False
2023-01-27,61160.44,61160.44,58102.418,61160.44,0.0,False
2023-01-28,61160.44,61160.44,58102.418,61160.44,0.0,False
2023-01-29,61160.44,61160.44,58102.418,61160.44,0.0,False
2023-01-30,61160.44,61160.44,58102.418,61160.44,0.0,False
2023-01-31,61741.9,61741.9,58654.805,61741.9,0.0,False
2023-02-01,61741.9,61741.9,58654.805,61351.55,0.6322286810091665,False
2023-02-02,61351.55,61351.55,58283.9725,60958.87,0.6400490289161404,False
2023-02-03,60958.87,60958.87,57910.9265,60958.87,0.0,False
2023-02-04,61723.57,61723.57,58637.3915,61723.57,0.0,False
2023-02-05,61723.57,61723.57,58637.3915,61723.57,0.0,False
2023-02-06,61723.57,61723.57,58637.3915,61332.64,0.6333561069134535,False
2023-02-07,61332.64,61332.64,58266.007999999994,61332.64,0.0,False
2023-02-08,61332.64,61332.64,58266.007999999994,61332.64,0.0,False
2023-02-09,61332.64,61332.64,58266.007999999994,61332.64,0.0,False
2023-02-10,61332.64,61332.64,58266.007999999994,61332.64,0.0,False
2023-02-11,61332.64,61332.64,58266.007999999994,61332.64,0.0,False
2023-02-12,61332.64,61332.64,58266.007999999994,61332.64,0.0,False
2023-02-13,61332.64,61332.64,58266.007999999994,60196.29,1.8527655095231486,False
2023-02-14,60196.29,60196.29,57186.4755,60196.29,0.0,False
2023-02-15,60196.29,60196.29,57186.4755,60196.29,0.0,False
2023-02-16,60196.29,60196.29,57186.4755,59806.04,0.6482957670647145,False
2023-02-17,59806.04,59806.04,56815.738,59806.04,0.0,False
2023-02-18,59806.04,59806.04,56815.738,59806.04,0.0,False
2023-02-19,59806.04,59806.04,56815.738,59806.04,0.0,False
2023-02-20,59806.04,59806.04,56815.738,59806.04,0.0,False
2023-02-21,59806.04,59806.04,56815.738,59806.04,0.0,False
2023-02-22,59806.04,59806.04,56815.738,59806.04,0.0,False
2023-02-23,59806.04,59806.04,56815.738,59806.04,0.0,False
2023-02-24,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-02-25,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-02-26,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-02-27,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-02-28,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-03-01,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-03-02,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-03-03,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-03-04,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-03-05,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-03-06,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-03-07,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-03-08,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0,False
2023-03-09,60388.770000000004,60388.770000000004,57369.3315,58894.08000000001,2.4751125085011583,False
2023-03-10,58894.08000000001,58894.08000000001,55949.376000000004,58519.71000000001,0.6356666068983547,False
2023-03-11,58519.71000000001,58519.71000000001,55593.724500000004,58519.71000000001,0.0,False
2023-03-12,59102.950000000004,59102.950000000004,56147.8025,59102.950000000004,0.0,False
2023-03-13,59102.950000000004,61329.79352554963,58263.303849272146,58561.28405314567,4.5141346697190725,True
2023-03-14,59276.91618882193,59470.644904747314,56497.11265950995,59221.73362935949,0.4185447724444502,False
2023-03-15,59276.91618882193,63440.00929233268,60268.00882771605,60593.495549077044,4.486937777923158,True
2023-03-16,62679.402506209786,62733.67085536665,59596.987312598314,62581.1795019349,0.24307736396187718,False
2023-03-17,62679.402506209786,63258.652370098076,60095.71975159317,62767.603263384364,0.7762560350492501,False
2023-03-18,62679.402506209786,63097.958922341844,59943.06097622475,62955.48948726271,0.22579087741091183,False
2023-03-19,62679.402506209786,63097.958922341844,59943.06097622475,62488.215588213214,0.9663439904277655,False
2023-03-20,62825.06250620978,62825.06250620978,59683.80938089929,62486.93514934066,0.5382045689738925,False
2023-03-21,62825.06250620978,63509.58578587288,60334.10649657923,63103.55573323353,0.6393208956019757,False
2023-03-22,63395.40250620978,65305.18129740407,62039.92223253386,64466.787853929934,1.2838084617758583,False
2023-03-23,64506.28250620978,66291.24421902263,62976.6820080715,65285.34502825797,1.517393741232583,False
2023-03-24,64506.28250620978,66233.89145866889,62922.196885735444,65806.3464961758,0.6455078405892656,False
2023-03-25,64506.28250620978,66916.95244489369,63571.104822649,66694.78195504184,0.33200927677453496,False
2023-03-26,64506.28250620978,66916.95244489369,63571.104822649,66694.78195504184,0.33200927677453496,False
2023-03-27,65551.61250620979,67246.10515355869,63883.79989588075,66749.39411435794,0.7386465551670083,False
2023-03-28,65701.76250620978,66909.99594762496,63564.496150243715,65722.95583873184,1.77408486143431,False
2023-03-29,65701.76250620978,66939.30788734677,63592.342492979435,66135.07660182448,1.201433523746246,False
2023-03-30,65701.76250620978,67184.41834683466,63825.197429492924,65814.65002080677,2.0388184637642572,False
2023-03-31,66017.25250620977,66174.20263529768,62865.4925035328,65329.85512022246,1.2759466400050592,False
2023-04-01,66017.25250620977,66059.89149252062,62756.896917894584,65779.25827569755,0.4248163454141406,False
2023-04-02,66017.25250620977,66059.89149252062,62756.896917894584,65779.25827569755,0.4248163454141406,False
2023-04-03,65609.58250620977,67586.10287044114,64206.79772691908,65182.0371075657,3.5570415525864894,False
2023-04-04,65329.552506209766,65738.61824402135,62451.68733182028,64587.24096561409,1.7514473366832137,False
2023-04-05,64688.82250620977,67246.55071683071,63884.22318098917,66277.85868715952,1.4405081291831119,False
2023-04-06,67507.10250620978,68799.38135265211,65359.412285019505,68386.80785300679,0.599676176636755,False
2023-04-07,68632.94250620977,69644.279906105,66162.06591079975,68689.9028156163,1.3703596214583669,False
2023-04-08,68632.94250620977,69817.24546735709,66326.38319398923,69488.6957959524,0.4705852675873644,False
2023-04-09,68632.94250620977,69817.24546735709,66326.38319398923,69488.6957959524,0.4705852675873644,False
2023-04-10,68632.94250620977,69944.14087109253,66446.9338275379,68196.73970679348,2.4982809746988277,False
2023-04-11,66657.25250620978,68425.32481735833,65004.05857649041,68036.13640158696,0.5687783241222326,False
2023-04-12,66255.59250620978,69125.28956854943,65669.02509012196,68105.35305874537,1.4754896741410657,False
2023-04-13,67404.29250620978,71002.23656775578,67452.124739368,69363.7885613627,2.3076005568212623,False
2023-04-14,68553.49250620978,70662.82419136485,67129.6829817966,69496.71980998816,1.6502374405793825,False
2023-04-15,68553.49250620978,71818.25144898983,68227.33887654034,71608.46904731529,0.29210179507578954,False
2023-04-16,68553.49250620978,71818.25144898983,68227.33887654034,71608.46904731529,0.29210179507578954,False
2023-04-17,68290.48250620978,71899.31343640217,68304.34776458205,71642.54248722308,0.3571257316750494,False
2023-04-18,69425.02250620977,72048.02643199232,68445.62511039269,71555.82292905792,0.6831602853119071,False
2023-04-19,69425.02250620977,72195.63270851696,68585.85107309111,71304.9064092643,1.2337675643745514,False
2023-04-20,69994.92250620977,73161.77336581498,69503.68469752422,71757.98080264677,1.918751417012728,False
2023-04-21,71965.50250620977,73027.83273502503,69376.44109827378,72659.54222804014,0.5043152633615764,False
2023-04-22,71965.50250620977,75208.50036061942,71448.07534258845,74957.02964566485,0.3343647509906298,False
2023-04-23,71965.50250620977,75208.50036061942,71448.07534258845,74801.65844315346,0.5409520406804905,False
2023-04-24,71965.50250620977,75283.1333549833,71518.97668723414,74767.92077964035,0.684366540528501,False
2023-04-25,72108.07250620976,77654.90622274589,73772.16091160859,75865.18399427859,2.3047123685059283,False
2023-04-26,72674.21250620976,76753.0689531706,72915.41550551206,76113.8612842989,0.8328105671731593,False
2023-04-27,76525.88250620977,79395.19890280333,75425.43895766315,77441.63944022612,2.4605511284993193,False
