trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,live_result_r,live_profit_usd,backtest_result_r,backtest_profit_usd,difference_usd
2,SPX500_USD,bullish,2023-01-06 00:00:00+00:00,3874.5575,3756.8409384914926,3945.187436905104,2023-01-13 00:00:00+00:00,,backtest_fallback,1.49,580.96,1.49,580.96,0.0
5,XAG_USD,bearish,2023-01-13 00:00:00+00:00,24.04409620285034,24.781883368753977,23.60142390330816,2023-01-24 00:00:00+00:00,,backtest_fallback,1.49,579.48,1.49,579.48,0.0
6,SPX500_USD,bullish,2023-01-19 00:00:00+00:00,3906.165,3758.755381722603,3994.610770966438,2023-01-30 00:00:00+00:00,,backtest_fallback,1.49,581.46,1.49,581.46,0.0
4,NAS100_USD,bearish,2023-01-12 00:00:00+00:00,11499.3635,12343.502116659076,10992.880330004553,2023-02-01 00:00:00+00:00,,backtest_fallback,-1.0,-390.35,-1.0,-390.35,0.0
1,XAG_USD,bearish,2023-01-05 00:00:00+00:00,23.341060047149657,24.43144316935612,22.68683017382578,2023-02-02 00:00:00+00:00,,backtest_fallback,-1.01,-392.68,-1.01,-392.68,0.0
7,XAG_USD,bullish,2023-01-24 00:00:00+00:00,23.629685985565185,22.942410257170184,24.042051422602185,2023-02-03 00:00:00+00:00,,backtest_fallback,1.49,579.18,1.49,579.18,0.0
8,XAG_USD,bullish,2023-01-24 00:00:00+00:00,23.530000686645508,22.936023856005825,23.88638678502932,2023-02-03 00:00:00+00:00,,backtest_fallback,1.48,578.52,1.48,578.52,0.0
14,XAG_USD,bullish,2023-02-02 00:00:00+00:00,23.629685985565185,22.65618189843633,24.2137884378425,2023-02-03 00:00:00+00:00,,backtest_fallback,-1.01,-393.0,-1.01,-393.0,0.0
15,XAU_USD,bullish,2023-02-03 00:00:00+00:00,1895.398594238281,1864.113209283261,1914.169825211293,2023-02-06 00:00:00+00:00,,backtest_fallback,-1.0,-390.93,-1.0,-390.93,0.0
10,ETH_USD,bullish,2023-01-29 00:00:00+00:00,1616.492167724609,1487.4260234342823,1693.9318542988055,2023-02-13 00:00:00+00:00,,backtest_fallback,-0.96,-373.07,-0.96,-373.07,0.0
13,ETH_USD,bullish,2023-02-01 00:00:00+00:00,1616.492167724609,1486.2018004121069,1694.6663881121108,2023-02-13 00:00:00+00:00,,backtest_fallback,-0.96,-373.06,-0.96,-373.06,0.0
16,ETH_USD,bullish,2023-02-05 00:00:00+00:00,1616.492167724609,1486.056575550081,1694.753523029326,2023-02-13 00:00:00+00:00,,backtest_fallback,-1.0,-390.22,-1.0,-390.22,0.0
19,ETH_USD,bearish,2023-02-15 00:00:00+00:00,1608.9225998535155,1727.932293328248,1537.516783768676,2023-02-16 00:00:00+00:00,,backtest_fallback,-1.0,-390.25,-1.0,-390.25,0.0
20,NAS100_USD,bearish,2023-02-16 00:00:00+00:00,12655.559,13069.0005023132,12407.494098612078,2023-02-23 00:00:00+00:00,,backtest_fallback,1.49,582.73,1.49,582.73,0.0
9,BTC_USD,bullish,2023-01-29 00:00:00+00:00,23096.53470703125,20289.353388700787,24780.843498029528,2023-03-09 00:00:00+00:00,,backtest_fallback,-0.96,-373.88,-0.96,-373.88,0.0
11,BTC_USD,bullish,2023-01-30 00:00:00+00:00,23096.53470703125,20275.03090892752,24789.436985893488,2023-03-09 00:00:00+00:00,,backtest_fallback,-0.96,-373.88,-0.96,-373.88,0.0
12,BTC_USD,bullish,2023-01-31 00:00:00+00:00,23139.283203125,20280.940391995195,24854.288889802883,2023-03-09 00:00:00+00:00,,backtest_fallback,-0.96,-373.86,-0.96,-373.86,0.0
24,ETH_USD,bullish,2023-02-25 00:00:00+00:00,1570.6920576171874,1445.8110428333434,1645.6206664874935,2023-03-09 00:00:00+00:00,,backtest_fallback,-0.96,-373.07,-0.96,-373.07,0.0
18,SPX500_USD,bullish,2023-02-10 00:00:00+00:00,4065.119,3873.427499247747,4180.133900451352,2023-03-10 00:00:00+00:00,,backtest_fallback,-0.96,-374.37,-0.96,-374.37,0.0
23,ETH_USD,bearish,2023-02-24 00:00:00+00:00,1608.3731689453125,1757.2475782559718,1519.048523358917,2023-03-11 00:00:00+00:00,,backtest_fallback,1.5,583.24,1.5,583.24,0.0
28,GBP_NZD,bullish,2023-03-12 21:00:00+00:00,1.9428452,1.926102494556995,1.952890823265803,2023-03-12 21:00:00+00:00,1.952890823265803,tp,0.5999999999999973,206.99999999999898,1.45,565.97,-358.97000000000105
29,GBP_NZD,bullish,2023-03-12 21:00:00+00:00,1.9455383,1.9238123163743523,1.9585738901753884,2023-03-12 21:00:00+00:00,1.9585738901753884,tp,0.5999999999999959,206.99999999999844,1.46,569.98,-362.9800000000016
30,EUR_NZD,bullish,2023-03-12 21:00:00+00:00,1.71933652,1.703136695292746,1.7290564148243524,2023-03-12 21:00:00+00:00,1.7290564148243524,tp,0.6000000000000055,207.0000000000022,-1.0,-390.9,597.9000000000021
32,CHF_JPY,bullish,2023-03-12 21:00:00+00:00,145.33184,143.912895634497,146.1832066193018,2023-03-12 21:00:00+00:00,146.1832066193018,tp,0.600000000000012,207.0000000000047,1.44,562.83,-355.8299999999954
35,EUR_GBP,bullish,2023-03-12 21:00:00+00:00,0.8799350199999999,0.8727569721404903,0.8842418487157057,2023-03-12 21:00:00+00:00,0.8842418487157057,tp,0.6,207.00000000000003,-1.1,-430.75,637.75
39,NZD_USD,bearish,2023-03-12 21:00:00+00:00,0.6199438199999999,0.6293256372354162,0.6143147296587501,2023-03-12 21:00:00+00:00,0.6143147296587501,tp,0.6000000000000024,207.00000000000097,-1.04,-404.02,611.0200000000009
31,USD_JPY,bullish,2023-03-12 21:00:00+00:00,133.295704,130.66015493954805,134.87703343627118,2023-03-12 23:00:00+00:00,134.87703343627118,tp,0.6000000000000022,207.00000000000088,-0.98,-383.94,590.9400000000009
27,ETH_USD,bearish,2023-03-12 00:00:00+00:00,1582.8960219726562,1699.6500449378889,1512.8436081935167,2023-03-13 00:00:00+00:00,,backtest_fallback,-1.0,-390.25,-1.0,-390.25,0.0
38,EUR_JPY,bullish,2023-03-12 21:00:00+00:00,143.533402,142.2954282288346,144.27618626269924,2023-03-13 06:00:00+00:00,144.27618626269924,tp,0.6000000000000046,207.00000000000185,-1.02,-396.47,603.4700000000018
37,NZD_CAD,bullish,2023-03-12 21:00:00+00:00,0.84772966,0.8397171289632763,0.8525371786220343,2023-03-13 11:00:00+00:00,0.8525371786220343,tp,0.5999999999999972,206.99999999999895,1.4,546.93,-339.930000000001
44,ETH_USD,bearish,2023-03-13 00:00:00+00:00,1619.3493232421874,1697.1252052080508,1572.6837940626694,2023-03-14 00:00:00+00:00,,backtest_fallback,-1.0,-390.38,-1.0,-390.38,0.0
40,BTC_USD,bearish,2023-03-13 00:00:00+00:00,22910.16466015625,25388.608008021696,21423.098651436983,2023-03-14 00:00:00+00:00,,backtest_fallback,-1.0,-391.18,-1.0,-391.18,0.0
41,BTC_USD,bearish,2023-03-13 00:00:00+00:00,22392.53227734375,25415.408552091576,20578.80651249505,2023-03-14 00:00:00+00:00,,backtest_fallback,-1.0,-390.97,-1.0,-390.97,0.0
33,GBP_JPY,bullish,2023-03-12 21:00:00+00:00,161.996972,159.8076025856532,163.3105936486081,2023-03-14 12:00:00+00:00,163.3105936486081,tp,0.6000000000000052,207.00000000000205,-0.99,-386.2,593.2000000000021
34,GBP_JPY,bullish,2023-03-12 21:00:00+00:00,162.215,159.79709525810654,163.6657428451361,2023-03-14 12:00:00+00:00,163.6657428451361,tp,0.6000000000000048,207.00000000000188,-0.99,-384.94,591.9400000000019
60,NZD_CHF,bearish,2023-03-14 21:00:00+00:00,0.57766,0.5908781528502757,0.5697291082898345,2023-03-14 21:00:00+00:00,0.5697291082898345,tp,0.6000000000000033,207.00000000000134,2.66,1039.06,-832.0599999999986
64,EUR_JPY,bearish,2023-03-14 21:00:00+00:00,144.765734,145.83345750094375,144.12509989943376,2023-03-14 21:00:00+00:00,144.12509989943376,tp,0.6,207.00000000000003,3.1,1209.3,-1002.3
61,EUR_USD,bearish,2023-03-14 21:00:00+00:00,1.06367652,1.073606012285706,1.0577188246285765,2023-03-14 21:00:00+00:00,1.073606012285706,sl,-1.0,-417.00000000000006,-1.03,-402.3,-14.700000000000045
62,EUR_USD,bullish,2023-03-14 21:00:00+00:00,1.06113226,1.04920810515919,1.068286752904486,2023-03-14 21:00:00+00:00,1.068286752904486,tp,0.6,207.00000000000003,2.66,1036.66,-829.6600000000001
