trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
1,AUD_NZD,bearish,2020-01-01 22:00:00+00:00,2020-01-07 22:00:00+00:00,1.0421658200000001,1.0353813328642403,1.0458322370976936,1.039965969741384,1.85,2220.53,1,15,0
2,GBP_CHF,bullish,2020-01-01 22:00:00+00:00,2020-01-12 22:00:00+00:00,1.27576,1.2623700517573666,1.2631200517573666,1.2833439689455801,-1.06,-1271.2,0,14,0
3,GBP_CAD,bullish,2020-01-01 22:00:00+00:00,2020-01-12 22:00:00+00:00,1.70901782,1.6928318237133166,1.6935818237133167,1.7182794177720098,-1.05,-1258.31,0,14,0
4,NZD_CAD,bullish,2020-01-01 22:00:00+00:00,2020-01-07 22:00:00+00:00,0.8689214000000001,0.8606883652804673,0.8614383652804674,0.8734112208317197,-1.1,-1320.27,0,15,0
5,NZD_CAD,bullish,2020-01-01 22:00:00+00:00,2020-01-07 22:00:00+00:00,0.86979618,0.8607052677604339,0.8614552677604339,0.8748007273437397,-1.09,-1307.9,0,15,0
6,NZD_CHF,bullish,2020-01-01 22:00:00+00:00,2020-01-07 22:00:00+00:00,0.64912956,0.6417222098129391,0.6424722098129392,0.6531239701122364,-1.11,-1335.19,0,15,0
7,EUR_JPY,bullish,2020-01-01 22:00:00+00:00,2020-01-02 22:00:00+00:00,121.578498,120.68885631356335,120.76385631356335,122.06728301186199,-1.09,-1310.48,0,15,0
8,USD_JPY,bullish,2020-01-01 22:00:00+00:00,2020-01-02 22:00:00+00:00,108.841028,108.28314461481612,108.35814461481613,109.13075803111032,-1.16,-1386.38,0,15,0
9,GBP_AUD,bullish,2020-01-01 22:00:00+00:00,2020-01-07 22:00:00+00:00,1.87936,1.9126374756851294,1.8628016176714697,1.889295029397118,2.01,2411.65,1,15,0
10,CHF_JPY,bullish,2020-01-02 22:00:00+00:00,2020-01-09 22:00:00+00:00,111.428404,112.53673099827452,110.60664914008714,111.92145691594772,1.35,1618.48,1,15,0
11,CAD_JPY,bullish,2020-01-02 22:00:00+00:00,2020-01-06 22:00:00+00:00,83.14,83.7062914741738,82.69465869849043,83.40720478090574,1.27,1525.91,1,15,0
12,CAD_JPY,bullish,2020-01-02 22:00:00+00:00,2020-01-09 22:00:00+00:00,83.234118,83.92667258449484,82.70109398298969,83.55393241020617,1.3,1559.15,1,15,0
13,NZD_JPY,bullish,2020-01-02 22:00:00+00:00,2020-01-05 22:00:00+00:00,72.484316,71.74154931998622,71.81654931998622,72.88497600800828,-1.11,-1334.78,0,15,0
14,NZD_JPY,bullish,2020-01-02 22:00:00+00:00,2020-01-07 22:00:00+00:00,72.353278,71.39986974641256,71.47486974641257,72.88032295215247,-1.09,-1302.46,0,15,0
15,EUR_NZD,bullish,2020-01-02 22:00:00+00:00,2020-01-06 22:00:00+00:00,1.6686981,1.6831776405876713,1.6581220301474506,1.6750437419115298,1.37,1642.9,1,15,0
16,AUD_JPY,bullish,2020-01-02 22:00:00+00:00,2020-01-05 22:00:00+00:00,75.554686,74.85402200615552,74.92902200615552,75.9300843963067,-1.12,-1343.85,0,15,0
17,AUD_JPY,bullish,2020-01-02 22:00:00+00:00,2020-01-06 22:00:00+00:00,75.46425599999999,74.52073472000154,74.59573472000154,75.98536876799906,-1.09,-1303.62,0,15,0
18,NZD_CHF,bullish,2020-01-02 22:00:00+00:00,2020-01-07 22:00:00+00:00,0.64726468,0.639748100675733,0.640498100675733,0.6513246275945602,-1.11,-1333.01,0,15,0
