symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
ETH_USD,63,42,66.7,56.47,67767.07,0.896
GBP_USD,85,49,57.6,42.34,50807.68,0.498
EUR_CHF,76,48,63.2,41.21,49453.24,0.542
BTC_USD,85,44,51.8,38.37,46047.38,0.451
EUR_JPY,91,48,52.7,37.19,44630.51,0.409
CAD_JPY,78,43,55.1,28.08,33699.36,0.36
AUD_CAD,90,47,52.2,26.66,31989.55,0.296
USD_CHF,87,46,52.9,26.42,31699.47,0.304
EUR_CAD,59,33,55.9,23.4,28077.68,0.397
NAS100_USD,54,28,51.9,21.08,25300.15,0.39
GBP_AUD,89,42,47.2,20.88,25052.12,0.235
EUR_NZD,77,39,50.6,20.0,24005.27,0.26
GBP_NZD,101,48,47.5,19.96,23956.48,0.198
SPX500_USD,70,35,50.0,19.54,23451.81,0.279
USD_CAD,101,47,46.5,19.49,23386.44,0.193
GBP_CHF,53,28,52.8,18.8,22554.03,0.355
CHF_JPY,97,46,47.4,18.17,21802.51,0.187
NZD_CAD,83,41,49.4,16.76,20110.64,0.202
XAU_USD,41,21,51.2,16.55,19855.56,0.404
EUR_USD,84,38,45.2,15.89,19070.62,0.189
GBP_JPY,83,37,44.6,15.46,18550.78,0.186
EUR_GBP,79,39,49.4,13.17,15802.69,0.167
USD_JPY,36,18,50.0,12.78,15330.28,0.355
AUD_JPY,75,33,44.0,12.06,14477.82,0.161
XAG_USD,46,21,45.7,11.63,13951.31,0.253
EUR_AUD,82,35,42.7,10.02,12028.19,0.122
NZD_USD,77,34,44.2,9.89,11871.74,0.128
AUD_USD,88,37,42.0,8.64,10370.75,0.098
AUD_CHF,68,29,42.6,6.4,7677.18,0.094
NZD_CHF,53,23,43.4,5.56,6672.84,0.105
NZD_JPY,92,39,42.4,4.97,5962.54,0.054
GBP_CAD,84,35,41.7,4.59,5509.05,0.055
AUD_NZD,93,38,40.9,-5.51,-6608.83,-0.059
CAD_CHF,82,26,31.7,-21.97,-26367.17,-0.268
TOTAL,2602,1257,48.3,614.96,737946.73,0.236
