Trade#,Symbol,Direction,Entry Date,Entry Price,Stop Loss Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,Exit Date,Exit Price,TP1 Hit?,TP2 Hit?,TP3 Hit?,TP4 Hit?,TP5 Hit?,SL Hit?,Final Exit Reason,R Multiple,Profit/Loss USD,Confluence Score,Holding Time (hours),Lot Size,Risk Pips,ADX Value,Validation Notes
1,XAU_USD,BULLISH,2024-11-27 22:00:00+00:00,2621.70993,2542.157488753459,2669.4413947479247,2717.1728594958495,2780.814812493082,2820.5910331163527,2900.143474362894,2025-01-26 22:00:00+00:00,2747.725549375768,Yes,Yes,Yes,No,No,No,TP3+Trail,1.58,1584.06,8,1440.0,0.13,7955.2,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
2,USD_CAD,BULLISH,2024-11-27 22:00:00+00:00,1.4015,1.3949870554436867,1.4054077667337879,1.4093155334675758,1.4145258891126264,1.417782361390783,1.4242953059470964,2024-12-08 22:00:00+00:00,1.4110730171217563,Yes,Yes,Yes,No,No,No,TP3+Trail,1.47,1469.84,7,264.0,2.15,65.1,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
3,USD_CAD,BULLISH,2024-11-28 22:00:00+00:00,1.40052,1.3950151229119947,1.4038229262528032,1.4071258525056063,1.4115297541760106,1.4142821927200133,1.4197870698080184,2024-12-08 22:00:00+00:00,1.4113577662702512,Yes,Yes,Yes,Yes,No,No,TP4+Trail,1.97,1968.76,7,240.0,2.54,55.0,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
4,GBP_USD,BULLISH,2024-12-01 22:00:00+00:00,1.26546,1.2521849487965684,1.273425030722059,1.281390061444118,1.2920101024068633,1.2986476280085792,1.3119226792120107,2024-12-18 22:00:00+00:00,1.2535589569891175,Yes,No,No,No,No,No,TP1+Trail,-0.9,-896.5,7,408.0,0.75,132.8,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
5,GBP_USD,BULLISH,2024-12-01 22:00:00+00:00,1.26332524,1.2487870328093513,1.272048164314389,1.2807710886287782,1.292401654381297,1.2996707579766213,1.31420896516727,2024-12-19 22:00:00+00:00,1.2535615515417977,Yes,Yes,No,No,No,No,TP2+Trail,-0.67,-671.59,7,432.0,0.69,145.4,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
6,USD_CAD,BULLISH,2024-12-01 22:00:00+00:00,1.4012376,1.3949204712754237,1.4050278772347458,1.4088181544694915,1.4138718574491524,1.4170304218114405,1.423347550536017,2024-12-08 22:00:00+00:00,1.4105002490284533,Yes,Yes,Yes,No,No,No,TP3+Trail,1.47,1466.28,7,168.0,2.22,63.2,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
7,EUR_USD,BEARISH,2024-12-04 22:00:00+00:00,1.05877,1.0770865201725712,1.0477800878964572,1.0367901757929145,1.0221369596548575,1.012978699568572,0.9946621793960007,2025-01-13 22:00:00+00:00,1.0304883155264746,Yes,Yes,Yes,No,No,No,TP3+Trail,1.54,1544.05,9,960.0,0.55,183.2,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
8,EUR_USD,BEARISH,2024-12-05 22:00:00+00:00,1.06098092,1.0772819009346999,1.05120033143918,1.04141974287836,1.0283789581306002,1.0202284676632503,1.0039274867285504,2025-01-05 22:00:00+00:00,1.0358938652185006,Yes,Yes,Yes,No,No,No,TP3+Trail,1.54,1538.99,7,744.0,0.61,163.0,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
9,AUD_USD,BEARISH,2024-12-08 22:00:00+00:00,0.6459157600000001,0.6531734243576156,0.6415611613854307,0.6372065627708614,0.631400431284769,0.6277715991059611,0.6205139347483457,2024-12-18 22:00:00+00:00,0.6281224275662923,Yes,Yes,Yes,Yes,Yes,No,TP5,2.45,2451.66,9,240.0,1.38,72.6,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
10,ETH_USD,BULLISH,2024-12-08 22:00:00+00:00,3521.98252,3222.1287659138256,3701.8947724517047,3881.8070249034095,4121.690028172348,4271.616905215436,4571.470659301611,2024-12-19 22:00:00+00:00,3335.9981924665717,Yes,Yes,No,No,No,No,TP2+Trail,-0.62,-620.25,7,264.0,3.33,29985.4,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
