Symbol,Trades,Wins,Win Rate %,Total R,Profit USD
ETH_USD,4,4,100.0,+5.8,"$+10,982.00"
GBP_CAD,10,9,90.0,+5.1,"$+9,623.50"
NZD_JPY,3,3,100.0,+4.2,"$+8,027.50"
XAU_USD,5,5,100.0,+3.8,"$+7,267.50"
CAD_JPY,5,5,100.0,+3.3,"$+6,270.00"
AUD_JPY,4,3,75.0,+2.7,"$+5,225.00"
GBP_JPY,5,4,80.0,+2.3,"$+4,341.50"
AUD_CAD,8,5,62.5,+1.3,"$+2,470.00"
CAD_CHF,3,3,100.0,+1.2,"$+2,242.00"
BTC_USD,1,1,100.0,+1.1,"$+2,014.00"
EUR_CAD,5,4,80.0,+0.2,$+456.00
AUD_CHF,2,2,100.0,+0.1,$+228.00
USD_CHF,4,2,50.0,+0.1,$+228.00
AUD_USD,3,2,66.7,-0.9,"$-1,672.00"
EUR_JPY,3,1,33.3,-0.9,"$-1,786.00"
EUR_GBP,2,0,0.0,-2.0,"$-3,800.00"
